UTC Time,1,2,3,4,5,6
1/3/2016 11:00,993.134125,1065.491392,444.2811703,5607.231469,673.1827834,3111.883379
1/3/2016 12:00,1023.396293,1097.958386,457.8212147,5778.091552,693.6955921,3206.805532
1/3/2016 13:00,1078.068828,1156.614225,482.2551702,6086.772477,730.7546444,3377.033199
1/3/2016 14:00,1112.427256,1193.475922,497.6355823,6280.76003,754.0440487,3485.147624
1/3/2016 15:00,1129.982657,1212.310366,505.5168021,6379.877758,765.9437444,3541.411405
1/3/2016 16:00,1141.686258,1224.866662,510.7753181,6445.956243,773.8768748,3579.118215
1/3/2016 17:00,1143.776187,1227.108858,511.7335549,6457.755973,775.2935053,3586.720676
1/3/2016 18:00,1147.036476,1230.606683,513.2019734,6476.163551,777.5034488,3597.385102
1/3/2016 19:00,1145.44813,1228.902614,512.4949311,6467.195756,776.4268096,3592.566861
1/3/2016 20:00,1148.95921,1232.669503,514.0641236,6487.019302,778.8067488,3603.500694
1/3/2016 21:00,1171.279649,1256.616153,524.0389727,6613.040413,793.9363618,3672.975538
1/3/2016 22:00,1272.09781,1364.779673,569.1032845,7182.259365,862.2746141,3987.207297
1/3/2016 23:00,1375.59108,1475.813204,615.3875912,7766.581971,932.4261533,4310.874044
1/4/2016 0:00,1370.408057,1470.252559,613.0808287,7737.318642,928.9129098,4295.170729
1/4/2016 1:00,1335.548046,1432.852734,597.5043682,7540.499154,905.2835141,4186.76622
1/4/2016 2:00,1288.064865,1381.910048,576.2749759,7272.409299,873.0976706,4038.540396
1/4/2016 3:00,1205.220091,1293.029411,539.2368379,6804.668021,816.9424401,3779.981072
1/4/2016 4:00,1108.581787,1189.350282,496.0252654,6259.048528,751.4374487,3478.071669
1/4/2016 5:00,1019.38363,1093.65337,456.1322139,5755.436072,690.9756617,3199.029792
1/4/2016 6:00,983.4368558,1055.087604,440.0276583,5552.480724,666.6096182,3085.32367
1/4/2016 7:00,955.7661996,1025.400933,427.6415224,5396.252305,647.8534312,2998.277026
1/4/2016 8:00,946.0689304,1014.997145,423.295121,5341.50156,641.280266,2967.516129
1/4/2016 9:00,954.7630338,1024.32468,427.1725827,5390.588435,647.1734486,2994.221423
1/4/2016 10:00,990.9605992,1063.159509,443.35162,5594.95975,671.7094878,3107.007808
1/4/2016 11:00,1076.062496,1154.461717,481.4098035,6075.444736,729.3946791,3373.106145
1/4/2016 12:00,1234.228302,1324.151087,552.1393661,6968.448266,836.6052706,3867.511653
1/4/2016 13:00,1337.888766,1435.363994,598.5123765,7553.714851,906.8701402,4192.331354
1/4/2016 14:00,1360.543593,1459.669395,608.6635029,7681.623919,922.2264142,4264.060998
1/4/2016 15:00,1370.324459,1470.162871,613.0651422,7736.846653,928.8562446,4295.890726
1/4/2016 16:00,1374.086331,1474.198823,614.7590656,7758.086166,931.4061794,4308.177486
1/4/2016 17:00,1373.83554,1473.929759,614.65008,7756.670198,931.2361837,4307.536683
1/4/2016 18:00,1373.083165,1473.122569,614.3143087,7752.422296,930.7261968,4305.215623
1/4/2016 19:00,1376.928634,1477.248209,616.033863,7774.133798,933.3327968,4317.232148
1/4/2016 20:00,1378.266189,1478.683214,616.6341044,7781.685625,934.2394403,4321.508399
1/4/2016 21:00,1404.01411,1506.307065,628.1455089,7927.058293,951.6923272,4401.870433
1/4/2016 22:00,1490.871548,1599.492718,666.9779675,8417.455052,1010.567488,4672.968888
1/4/2016 23:00,1594.782803,1710.974688,713.4623743,9004.137604,1081.002353,4998.538425
1/5/2016 0:00,1600.216618,1716.804397,715.8943197,9034.8169,1084.685593,5015.615109
1/5/2016 1:00,1569.536464,1683.888964,702.17655,8861.596871,1063.889458,4919.802132
1/5/2016 2:00,1523.892421,1634.91941,681.7609256,8603.890778,1032.950249,4776.933132
1/5/2016 3:00,1433.858292,1538.32562,641.5097114,8095.55843,971.9218099,4495.986943
1/5/2016 4:00,1320.834947,1417.067677,590.9680836,7457.429058,895.3104359,4142.729289
1/5/2016 5:00,1220.016786,1308.904157,545.8666311,6888.210106,826.9721836,3826.817737
1/5/2016 6:00,1159.241659,1243.701106,518.6708518,6545.073971,785.7765705,3636.029381
1/5/2016 7:00,1128.561506,1210.785673,504.9371109,6371.853942,764.9804357,3539.494058
1/5/2016 8:00,1119.115028,1200.650949,500.699243,6318.519164,758.5772661,3509.353519
1/5/2016 9:00,1124.883231,1206.839409,503.2699483,6351.086418,762.4871661,3526.988173
1/5/2016 10:00,1161.749574,1246.391741,519.7435315,6559.233647,787.476527,3641.660543
1/5/2016 11:00,1254.626006,1346.034917,561.2635161,7083.613627,850.4315836,3931.388813
1/5/2016 12:00,1415.968503,1519.132425,633.4033212,7994.552746,959.7954533,4435.257031
1/5/2016 13:00,1506.33702,1616.084966,673.8285525,8504.77305,1021.050553,4718.355802
1/5/2016 14:00,1502.324357,1611.779951,672.0633869,8482.117569,1018.330623,4707.135292
1/5/2016 15:00,1477.830392,1585.501417,661.144071,8343.824739,1001.727714,4632.110233
1/5/2016 16:00,1457.850674,1564.066026,652.2378757,8231.019325,988.1847273,4570.943391
1/5/2016 17:00,1433.440307,1537.877181,641.3301028,8093.198484,971.6384838,4495.010935
1/5/2016 18:00,1408.277565,1510.881144,630.0815111,7951.129741,954.5822533,4416.52913
1/5/2016 19:00,1398.496698,1500.387669,625.7063147,7895.907007,947.9524229,4385.895361
1/5/2016 20:00,1394.734827,1496.351716,624.0183429,7874.667494,945.4024881,4373.877777
1/5/2016 21:00,1416.888071,1520.118991,633.9108165,7999.744627,960.4187707,4442.485879
1/5/2016 22:00,1498.395291,1607.564623,670.3393713,8459.934078,1015.667358,4696.346449
1/5/2016 23:00,1604.814461,1721.737227,717.9391734,9060.776305,1087.80218,5029.479082
1/6/2016 0:00,1606.820793,1723.889735,718.8403642,9072.104046,1089.162145,5035.930938
1/6/2016 1:00,1578.732151,1693.754625,706.2771058,8913.515681,1070.122632,4948.020727
1/6/2016 2:00,1528.657459,1640.031616,683.878587,8630.794161,1036.180166,4791.231121
1/6/2016 3:00,1435.69743,1540.298752,642.3136103,8105.942192,973.1684446,4500.897413
1/6/2016 4:00,1316.487896,1412.40391,589.0036632,7432.88562,892.3638446,4128.214756
1/6/2016 5:00,1228.794487,1318.321379,549.7578206,6937.76897,832.9220314,3852.714445
1/6/2016 6:00,1171.112454,1256.436777,523.940174,6612.096435,793.8230314,3671.366007
1/6/2016 7:00,1140.265107,1223.341969,510.1291051,6437.932427,772.9135661,3574.192231
1/6/2016 8:00,1122.8769,1204.686901,502.3439719,6339.758677,761.1272009,3519.415319
1/6/2016 9:00,1149.126404,1232.848879,514.0520276,6487.96328,778.9200792,3600.094695
1/6/2016 10:00,1188.751453,1275.360909,531.7546625,6711.686152,805.7793923,3723.182216
1/6/2016 11:00,1240.247296,1330.608611,554.808058,7002.431487,840.6851662,3885.289645
1/6/2016 12:00,1382.947629,1483.705733,618.6320402,7808.117019,937.4126924,4331.820917
1/6/2016 13:00,1470.139455,1577.250137,657.6388928,8300.401735,996.5145142,4605.088989
1/6/2016 14:00,1458.686645,1564.962905,652.5443578,8235.739217,988.7513794,4570.510303
1/6/2016 15:00,1420.399151,1523.885879,635.4595929,8019.568172,962.7987099,4452.496338
1/6/2016 16:00,1383.532809,1484.333547,618.9970841,7811.420943,937.809349,4338.324839
1/6/2016 17:00,1351.013518,1449.444983,604.4685601,7627.817152,915.7665794,4237.291327
1/6/2016 18:00,1317.323867,1413.300788,589.4112463,7437.605512,892.9304967,4132.354251
1/6/2016 19:00,1321.670919,1417.964555,591.3360399,7462.14895,895.877088,4145.076549
1/6/2016 20:00,1307.459404,1402.717624,584.9815653,7381.910789,886.2440011,4100.685724
1/6/2016 21:00,1325.432791,1422.000507,593.0054791,7483.388463,898.4270228,4156.25594
1/6/2016 22:00,1409.949508,1512.674901,630.7815637,7960.569525,955.7155577,4419.601781
1/6/2016 23:00,1522.47127,1633.394717,681.1054462,8595.866962,1031.98694,4771.588051
1/7/2016 0:00,1523.474436,1634.470971,681.5534425,8601.530832,1032.666923,4774.696428
1/7/2016 1:00,1493.045074,1601.824602,667.9452612,8429.72677,1012.040784,4679.551511
1/7/2016 2:00,1441.465633,1546.487212,644.8796448,8138.509446,977.0783447,4518.320814
1/7/2016 3:00,1351.013518,1449.444983,604.440309,7627.817152,915.7665794,4236.013594
1/7/2016 4:00,1236.569022,1326.662346,553.2595498,6981.663963,838.1918967,3878.150241
1/7/2016 5:00,1155.312593,1239.485778,516.8921422,6522.89048,783.1133053,3622.766845
1/7/2016 6:00,1101.141641,1181.368066,492.6422567,6217.04149,746.3942444,3452.287503
1/7/2016 7:00,1100.054878,1180.202124,492.1146889,6210.905631,745.6575965,3447.009741
1/7/2016 8:00,1094.621063,1174.372415,489.6679023,6180.226334,741.9743574,3429.261821
1/7/2016 9:00,1098.800921,1178.856807,491.5298326,6203.825793,744.8076183,3441.999865
1/7/2016 10:00,1131.988989,1214.462874,506.3614155,6391.205498,767.3037096,3545.304386
1/7/2016 11:00,1197.61275,1284.867819,535.7215813,6761.717005,811.7859053,3751.074538
1/7/2016 12:00,1319.58099,1415.722359,590.301111,7450.34922,894.4604576,4134.005467
1/7/2016 13:00,1410.952674,1513.751155,631.1811942,7966.233395,956.3955403,4420.522677
1/7/2016 14:00,1398.329504,1500.208293,625.5628417,7894.963028,947.8390924,4382.265307
