Power_network_size,cluster_method,Rep-Days,Emis-case,Elec_scenario,reduc-goal,RPS,UC-active?,UC-rlx?,int-vars-rlx?,MI-gap(%),Run time(sec),Total-cost,Power-cost,est-cost,decom-cost,FOM,VOM,nuc-fuel-cost,gas-fuel-cost,startup-cost,shed-cost,storage-cost,tran-est-cost,CCS-cost,emission_e,num-est-tran,total-str-lev,total-str-cap,num-est-str,total-flow,NG-cost,NG-import-cost,RNG-import-cost,inv-storage,FOM-storage,shed-cost,pipe-est-cost,emission_g,num-est-pipe,total-ng-shed,total-RNG-import,total-flowGE,Production:,ng,solar,wind,hydro,nuclear,CT,CC,CC-CCS,solar-UPV,wind-new,wind-offshore,nuclear-new,established:,ng,solar,wind,hydro,nuclear,CT,CC,CC-CCS,solar-UPV,wind-new,wind-offshore,nuclear-new,decommissioned:,ng,solar,wind,hydro,nuclear,CT,CC,CC-CCS,solar-UPV,wind-new,wind-offshore,nuclear-new
6,joint_CF_with_extreme_days,24,4,RM,0.8,0.5,FALSE,TRUE,FALSE,0,58.89786434,37630946625,23992118211,20121440000,300000000,1569409900,187129331.7,165067362.2,1364344676,0,0,1639082426,9989190.798,0,13267939.05,1,78647.45587,12931.06132,2,9084632.588,13638828414,1388207547,11196420867,0,1054200000,0,0,232060.9509,0,0,34281209.5,22808898.12,Production:,28774537.08,905874.107,2037854.354,20346005.06,21628323.14,0,0,0,46189036.88,15068126.46,0,0,established:,0,0,0,0,0,0,0,0,2155,698,0,0,decommissioned:,0,0,0,0,1,0,0,0,0,0,0,0
6,joint_CF_with_extreme_days,26,4,RM,0.8,0.5,FALSE,TRUE,FALSE,0,68.04126191,37230392199,24686503221,20963120000,300000000,1606009900,183302441,157393400.7,1347124548,0,0,1476677480,0,0,13100477.26,0,71676.05208,10970.933,5,8683060.761,12543888978,1388207547,10101481430,0,1054200000,0,0,399522.7438,0,0,38611000.46,24936415.21,Production:,28411358.18,906514.8135,1939711.816,20912913.48,20622825.04,0,0,9.95E-07,44868858.32,16724596.98,0,0,established:,0,0,0,0,0,0,0,0,2154,803,0,0,decommissioned:,0,0,0,0,1,0,0,0,0,0,0,0
6,joint_CF_with_extreme_days,28,4,RM,0.8,0.5,FALSE,TRUE,FALSE,0,145.3348417,39304844499,27049476501,23711520000,300000000,1662639900,171869982.8,166971432.9,1214908535,0,0,1036475185,0,0,11814706.86,0,36103.89949,19443.7683,6,9421234.607,12255367998,1388207547,9812960451,0,1054200000,0,0,1685293.143,0,0,34652702.34,21860284.2,Production:,25622873.25,847616.307,1786618.044,20904145.46,21877808.29,1.13E-08,4.05E-06,5.68E-06,40485522.75,0,21111746.1,0,established:,0,0,0,0,0,0,0,0,2126,0,462,0,decommissioned:,0,0,0,0,1,0,0,0,0,0,0,0
6,joint_CF_with_extreme_days,30,4,RM,0.8,0.5,FALSE,TRUE,FALSE,0,119.1051514,38703094307,26829408538,23518800000,300000000,1652929900,162834888.9,170223864.3,1121146243,0,0,998390838.1,26229046.64,0,10902890.07,2,41737.50924,12975.41713,5,12305122.14,11873685769,1388207547,9431278222,0,1054200000,0,0,2597109.933,0,0,42672580.36,22383574.72,Production:,23645391.6,829338.1071,1665450.195,21652464.77,22303965.44,3.65E-07,5.07E-06,4.36E-06,41366067.47,0,20905939.23,0,established:,0,0,0,0,0,0,0,0,2155,0,443,0,decommissioned:,0,0,0,0,1,0,0,0,0,0,0,0
10,joint_CF_with_extreme_days,4,4,RM,0.8,0.5,FALSE,TRUE,FALSE,0,11.65355611,45185547053,32608070375,29773120000,300000000,1925960900,141529441.5,163248313.5,1031049711,0,0,293795998.5,10415721.74,0,10026721.96,1,9494.114015,6123.037903,4,3310062.36,12577476678,1388207547,10135069130,0,1054200000,0,0,3473278.041,0,0,5279104.838,2232184.943,Production:,17338879.11,687289.3488,1544383.91,21974463.9,21389978.18,0,6027544.797,0,25135092.4,0,37235671.63,0,established:,0,0,0,0,0,0,2,0,1636,0,868,0,decommissioned:,0,0,0,0,1,0,0,0,0,0,0,0
10,joint_CF_with_extreme_days,6,4,RM,0.8,0.5,FALSE,TRUE,FALSE,0,24.96309185,37584047685,27198819321,24445440000,300000000,1718321900,134976966.9,165256137.8,1054382950,0,0,379242142.8,55582173.5,0,10253632.36,5,14187.16499,6306.815194,5,4723674.299,10385228364,1388207547,7942820817,0,1054200000,0,0,3246367.645,0,0,5498067.195,3477129.354,Production:,13617853.48,833698.2434,1779747.431,19855062.46,21653057.89,0,11790791.84,0,35629161.68,0,25653671.24,0,established:,0,0,0,0,0,0,3,0,1747,0,544,0,decommissioned:,0,0,0,0,1,0,0,0,0,0,0,0
10,joint_CF_with_extreme_days,8,4,RM,0.8,0.5,FALSE,TRUE,FALSE,0,32.86515355,43879614088,28834184190,25594480000,300000000,1746440900,166619060.9,163089609.5,1259620218,0,0,838381780.7,25172839.33,0,12249517.71,2,21250.76231,22302.16253,8,6585087.442,15045429898,1388207547,12603022351,0,1054200000,0,0,1250482.287,0,0,13810025.31,5184495.64,Production:,22613559.7,824566.2647,1748174.384,20638259.45,21369183.64,0,5406447.528,0,37060853.17,0,25399986.7,0,established:,0,0,0,0,0,0,2,0,1934,0,565,0,decommissioned:,0,0,0,0,1,0,0,0,0,0,0,0
10,joint_CF_with_extreme_days,10,4,RM,0.8,0.5,FALSE,TRUE,FALSE,0,58.76305485,32130009110,26592964228,21994400000,300000000,1599099900,139723514.2,172040045.7,946668915.7,0,1845720169,529394179.5,12586419.67,0,9206138.079,1,24209.14109,5162.384198,5,8062994.479,5537044882,1388207547,3094637335,0,1054200000,0,0,4293861.921,0,0,4792173.238,9455769.56,Production:,17674076.64,931244.4338,1966341.973,23169133.05,22541934.71,2.11E-06,3134630.772,0.000128059,46693297.94,0,15821737.18,0,established:,0,0,0,0,0,0,1,0,2155,0,342,0,decommissioned:,0,0,0,0,1,0,0,0,0,0,0,0
10,joint_CF_with_extreme_days,12,4,RM,0.8,0.5,FALSE,TRUE,FALSE,0,114.5063593,45889717179,33291989320,28938240000,300000000,1910558900,148895323.3,158221744.8,1018783364,0,1344745387,480912243.1,10415721.74,0,9907434.55,1,22789.43752,4030.438516,1,9816954.112,12597727860,1388207547,10155320312,0,1054200000,0,0,3592565.45,0,0,20443355.55,8563672.366,Production:,21486520.39,681479.522,1530853.988,23169291.59,20731360.69,0,0,0,23651064.48,0,38885482.86,0,established:,0,0,0,0,0,0,0,0,1562,0,904,0,decommissioned:,0,0,0,0,1,0,0,0,0,0,0,0
10,joint_CF_with_extreme_days,14,4,RM,0.8,0.5,FALSE,TRUE,FALSE,0,156.8380992,38284779923,27499734892,22905600000,300000000,1666598900,161737760,162864759.5,1129030008,0,1700013422,563599259.3,39320791.41,0,10979557.87,4,26521.66654,4877.300853,6,11008504.42,10785045031,1388207547,8342637484,0,1054200000,0,0,2520442.126,0,0,18672857.86,11647263.57,Production:,23811663.14,823211.0593,1757974.246,20128010.1,21339722.16,0,0,0,36934472.17,0,24548732.68,0,established:,0,0,0,0,0,0,0,0,1830,0,520,0,decommissioned:,0,0,0,0,1,0,0,0,0,0,0,0
