,zone_id,plant_type,Pmax,Pmin,GenFuelCost,GenIOB,GenIOC,ramp_30,count,adjusted_count
79,56.0,solar,5.6240000000000006,0.0,0.0,0.0,0.0,0.0,1.0,1.0
80,56.0,wind,17.133,0.0,0.0,0.0,0.0,0.0,1.0,1.0
81,57.0,ng,543.846,170.51197369,6.423500000000001,4.95838,0.0071725,242.58,2.0,3.0
82,59.0,ng,188.182,40.76028418,5.509,4.83913,0.007189,94.09,1.0,1.0
83,59.0,solar,12.27,0.0,0.0,0.0,0.0,0.0,3.0,2.0
84,60.0,solar,26.415000000000003,0.0,0.0,0.0,0.0,0.0,5.0,4.0
85,61.0,ng,711.328,163.34222838,8.877749999999999,4.82439,0.006253999999999999,326.32,3.0,4.0
86,63.0,hydro,756.5,242.440005,0.0,0.0,0.0,0.0,5.0,33.0
87,63.0,solar,16.872,0.0,0.0,0.0,0.0,0.0,3.0,3.0
88,64.0,ng,338.728,116.5601109,6.3165,4.81233,0.007024,169.36,2.0,2.0
89,64.0,solar,31.357999999999997,0.0,0.0,0.0,0.0,0.0,5.0,5.0
90,65.0,nuclear,617.001,298.4075212,1.0,8.0,0.0019,0.0,1.0,1.0
91,65.0,solar,14.997,0.0,0.0,0.0,0.0,0.0,2.0,2.0
92,65.0,wind,2.284,0.0,0.0,0.0,0.0,0.0,1.0,1.0
93,66.0,ng,363.285,150.78106047,5.808,4.74359,0.0055863333333333,181.65,3.0,2.0
94,66.0,solar,16.872,0.0,0.0,0.0,0.0,0.0,2.0,3.0
95,67.0,hydro,611.2,113.640002346,0.0,0.0,0.0,0.0,3.0,27.0
96,67.0,wind,32.552,0.0,0.0,0.0,0.0,0.0,1.0,1.0
97,68.0,ng,982.128,333.9535841,14.1678,4.719064,0.0053557,491.08,5.0,6.0
98,68.0,wind,30.6,0.0,0.0,0.0,0.0,0.0,1.0,1.0
99,69.0,solar,2.809,0.0,0.0,0.0,0.0,0.0,1.0,1.0
100,69.0,wind,10.2,0.0,0.0,0.0,0.0,0.0,1.0,1.0
101,70.0,ng,508.90199999999993,168.9538261,22.5985,4.68468,0.0046774999999999,254.46,2.0,3.0
