Day of Year,Date,Weight
3,2050-01-04,1
7,2050-01-08,4
9,2050-01-10,12
13,2050-01-14,5
14,2050-01-15,2
15,2050-01-16,1
18,2050-01-19,1
19,2050-01-20,3
35,2050-02-05,4
45,2050-02-15,11
48,2050-02-18,9
50,2050-02-20,5
57,2050-02-27,8
82,2050-03-24,11
84,2050-03-26,5
85,2050-03-27,4
90,2050-04-01,4
95,2050-04-06,4
98,2050-04-09,3
109,2050-04-20,3
112,2050-04-23,2
113,2050-04-24,10
125,2050-05-06,4
126,2050-05-07,2
129,2050-05-10,11
141,2050-05-22,12
145,2050-05-26,4
146,2050-05-27,4
150,2050-05-31,6
161,2050-06-11,3
163,2050-06-13,8
171,2050-06-21,1
172,2050-06-22,2
173,2050-06-23,1
180,2050-06-30,2
187,2050-07-07,4
189,2050-07-09,2
195,2050-07-15,2
199,2050-07-19,1
200,2050-07-20,2
203,2050-07-23,3
206,2050-07-26,4
209,2050-07-29,4
210,2050-07-30,2
215,2050-08-04,2
216,2050-08-05,1
217,2050-08-06,1
218,2050-08-07,4
219,2050-08-08,6
221,2050-08-10,2
223,2050-08-12,5
225,2050-08-14,3
228,2050-08-17,4
231,2050-08-20,2
234,2050-08-23,3
243,2050-09-01,4
247,2050-09-05,2
250,2050-09-08,3
251,2050-09-09,2
256,2050-09-14,4
259,2050-09-17,7
262,2050-09-20,5
263,2050-09-21,11
276,2050-10-04,5
283,2050-10-11,6
287,2050-10-15,9
297,2050-10-25,13
300,2050-10-28,5
302,2050-10-30,1
304,2050-11-01,1
312,2050-11-09,7
313,2050-11-10,3
314,2050-11-11,5
317,2050-11-14,2
322,2050-11-19,4
325,2050-11-22,6
327,2050-11-24,1
330,2050-11-27,6
340,2050-12-07,7
341,2050-12-08,4
345,2050-12-12,3
348,2050-12-15,3
358,2050-12-25,2
363,2050-12-30,5
