Day of Year,Date,Weight
3,2050-01-04,6
10,2050-01-11,1
17,2050-01-18,3
21,2050-01-22,2
27,2050-01-28,2
36,2050-02-06,12
40,2050-02-10,6
48,2050-02-18,2
54,2050-02-24,4
57,2050-02-27,3
63,2050-03-05,4
66,2050-03-08,2
69,2050-03-11,4
81,2050-03-23,1
86,2050-03-28,2
99,2050-04-10,7
100,2050-04-11,3
101,2050-04-12,8
104,2050-04-15,2
112,2050-04-23,1
113,2050-04-24,1
118,2050-04-29,2
122,2050-05-03,3
124,2050-05-05,1
125,2050-05-06,1
126,2050-05-07,4
127,2050-05-08,6
136,2050-05-17,5
139,2050-05-20,2
142,2050-05-23,6
149,2050-05-30,2
153,2050-06-03,2
157,2050-06-07,3
161,2050-06-11,3
166,2050-06-16,5
172,2050-06-22,1
175,2050-06-25,4
180,2050-06-30,7
184,2050-07-04,3
191,2050-07-11,3
193,2050-07-13,2
196,2050-07-16,6
198,2050-07-18,2
199,2050-07-19,1
202,2050-07-22,1
203,2050-07-23,2
205,2050-07-25,5
207,2050-07-27,4
210,2050-07-30,4
213,2050-08-02,6
215,2050-08-04,1
216,2050-08-05,1
218,2050-08-07,1
225,2050-08-14,3
230,2050-08-19,4
232,2050-08-21,2
233,2050-08-22,2
234,2050-08-23,5
239,2050-08-28,6
242,2050-08-31,2
243,2050-09-01,1
259,2050-09-17,3
261,2050-09-19,4
262,2050-09-20,6
264,2050-09-22,7
269,2050-09-27,6
272,2050-09-30,3
274,2050-10-02,4
278,2050-10-06,3
281,2050-10-09,5
285,2050-10-13,10
287,2050-10-15,4
289,2050-10-17,5
290,2050-10-18,4
293,2050-10-21,6
294,2050-10-22,2
296,2050-10-24,1
300,2050-10-28,4
308,2050-11-05,4
310,2050-11-07,2
311,2050-11-08,5
314,2050-11-11,5
317,2050-11-14,5
318,2050-11-15,1
322,2050-11-19,2
325,2050-11-22,10
330,2050-11-27,5
331,2050-11-28,9
334,2050-12-01,3
338,2050-12-05,8
342,2050-12-09,3
345,2050-12-12,2
349,2050-12-16,6
350,2050-12-17,3
352,2050-12-19,1
354,2050-12-21,7
356,2050-12-23,3
359,2050-12-26,3
362,2050-12-29,1
