Day of Year,Date,Weight
2,2050-01-03,2
3,2050-01-04,2
10,2050-01-11,11
11,2050-01-12,7
13,2050-01-14,8
14,2050-01-15,2
18,2050-01-19,2
31,2050-02-01,8
35,2050-02-05,2
36,2050-02-06,12
48,2050-02-18,7
52,2050-02-22,10
55,2050-02-25,11
59,2050-03-01,13
79,2050-03-21,19
84,2050-03-26,9
97,2050-04-08,5
102,2050-04-13,12
109,2050-04-20,12
132,2050-05-13,9
133,2050-05-14,2
134,2050-05-15,11
141,2050-05-22,5
167,2050-06-17,5
171,2050-06-21,1
173,2050-06-23,1
175,2050-06-25,4
176,2050-06-26,4
177,2050-06-27,11
180,2050-06-30,1
185,2050-07-05,3
194,2050-07-14,2
197,2050-07-17,1
198,2050-07-18,2
199,2050-07-19,1
200,2050-07-20,3
205,2050-07-25,3
215,2050-08-04,1
216,2050-08-05,2
219,2050-08-08,7
221,2050-08-10,1
223,2050-08-12,6
227,2050-08-16,2
229,2050-08-18,8
232,2050-08-21,2
234,2050-08-23,6
237,2050-08-26,5
238,2050-08-27,1
240,2050-08-29,4
242,2050-08-31,4
243,2050-09-01,3
245,2050-09-03,7
248,2050-09-06,1
254,2050-09-12,11
256,2050-09-14,3
270,2050-09-28,11
285,2050-10-13,15
287,2050-10-15,6
302,2050-10-30,1
303,2050-10-31,1
307,2050-11-04,9
308,2050-11-05,4
323,2050-11-20,8
340,2050-12-07,9
356,2050-12-23,4
