Day of Year,Date,Weight
1,2050-01-02,1
2,2050-01-03,1
3,2050-01-04,1
4,2050-01-05,2
12,2050-01-13,13
13,2050-01-14,3
14,2050-01-15,1
15,2050-01-16,2
20,2050-01-21,1
27,2050-01-28,8
28,2050-01-29,3
35,2050-02-05,4
38,2050-02-08,11
40,2050-02-10,6
42,2050-02-12,3
46,2050-02-16,11
50,2050-02-20,6
74,2050-03-16,8
84,2050-03-26,5
90,2050-04-01,3
93,2050-04-04,5
98,2050-04-09,3
105,2050-04-16,2
108,2050-04-19,6
112,2050-04-23,2
114,2050-04-25,7
117,2050-04-28,4
123,2050-05-04,7
125,2050-05-06,4
129,2050-05-10,14
130,2050-05-11,8
141,2050-05-22,13
146,2050-05-27,3
148,2050-05-29,1
149,2050-05-30,1
151,2050-06-01,3
153,2050-06-03,5
161,2050-06-11,3
163,2050-06-13,9
171,2050-06-21,1
172,2050-06-22,2
173,2050-06-23,1
174,2050-06-24,2
180,2050-06-30,1
183,2050-07-03,3
185,2050-07-05,2
187,2050-07-07,3
190,2050-07-10,2
193,2050-07-13,2
196,2050-07-16,2
199,2050-07-19,1
201,2050-07-21,1
203,2050-07-23,2
205,2050-07-25,3
208,2050-07-28,3
209,2050-07-29,3
210,2050-07-30,2
211,2050-07-31,1
215,2050-08-04,2
217,2050-08-06,2
219,2050-08-08,7
221,2050-08-10,2
223,2050-08-12,5
229,2050-08-18,2
230,2050-08-19,1
231,2050-08-20,3
234,2050-08-23,3
238,2050-08-27,1
240,2050-08-29,4
241,2050-08-30,2
242,2050-08-31,3
243,2050-09-01,5
256,2050-09-14,2
259,2050-09-17,7
265,2050-09-23,2
272,2050-09-30,3
276,2050-10-04,8
283,2050-10-11,8
287,2050-10-15,4
297,2050-10-25,9
302,2050-10-30,1
304,2050-11-01,1
306,2050-11-03,2
310,2050-11-07,1
313,2050-11-10,3
314,2050-11-11,5
321,2050-11-18,5
325,2050-11-22,6
326,2050-11-23,1
333,2050-11-30,10
338,2050-12-05,2
341,2050-12-08,4
346,2050-12-13,4
349,2050-12-16,4
358,2050-12-25,1
