Day of Year,Date,Weight
11,2050-01-12,9
14,2050-01-15,3
15,2050-01-16,4
27,2050-01-28,2
34,2050-02-04,5
36,2050-02-06,13
55,2050-02-25,3
59,2050-03-01,8
60,2050-03-02,10
69,2050-03-11,5
71,2050-03-13,8
87,2050-03-29,3
97,2050-04-08,6
101,2050-04-12,9
104,2050-04-15,6
113,2050-04-24,4
114,2050-04-25,9
115,2050-04-26,8
119,2050-04-30,1
122,2050-05-03,2
125,2050-05-06,4
129,2050-05-10,3
130,2050-05-11,7
139,2050-05-20,6
141,2050-05-22,8
144,2050-05-25,5
145,2050-05-26,10
150,2050-05-31,8
155,2050-06-05,5
161,2050-06-11,5
172,2050-06-22,1
173,2050-06-23,2
182,2050-07-02,3
185,2050-07-05,5
186,2050-07-06,5
188,2050-07-08,2
190,2050-07-10,7
193,2050-07-13,2
196,2050-07-16,3
197,2050-07-17,1
198,2050-07-18,1
205,2050-07-25,5
218,2050-08-07,1
219,2050-08-08,6
220,2050-08-09,2
230,2050-08-19,2
235,2050-08-24,7
236,2050-08-25,5
238,2050-08-27,6
239,2050-08-28,2
250,2050-09-08,3
258,2050-09-16,3
265,2050-09-23,3
270,2050-09-28,9
274,2050-10-02,4
277,2050-10-05,4
282,2050-10-10,11
296,2050-10-24,7
297,2050-10-25,6
300,2050-10-28,8
301,2050-10-29,3
314,2050-11-11,6
328,2050-11-25,7
329,2050-11-26,12
338,2050-12-05,5
340,2050-12-07,5
352,2050-12-19,8
358,2050-12-25,6
362,2050-12-29,8
