Day of Year,Date,Weight
0,2050-01-01,1
5,2050-01-06,4
6,2050-01-07,2
15,2050-01-16,3
19,2050-01-20,3
34,2050-02-04,3
36,2050-02-06,16
50,2050-02-20,7
53,2050-02-23,2
58,2050-02-28,4
59,2050-03-01,7
65,2050-03-07,3
68,2050-03-10,7
69,2050-03-11,3
70,2050-03-12,3
76,2050-03-18,1
77,2050-03-19,3
83,2050-03-25,4
92,2050-04-03,10
104,2050-04-15,5
109,2050-04-20,5
116,2050-04-27,4
119,2050-04-30,1
122,2050-05-03,3
123,2050-05-04,5
128,2050-05-09,7
132,2050-05-13,4
135,2050-05-16,5
137,2050-05-18,6
141,2050-05-22,8
144,2050-05-25,9
148,2050-05-29,1
150,2050-05-31,7
161,2050-06-11,5
167,2050-06-17,3
171,2050-06-21,1
172,2050-06-22,1
173,2050-06-23,1
182,2050-07-02,3
186,2050-07-06,4
190,2050-07-10,8
191,2050-07-11,2
193,2050-07-13,1
196,2050-07-16,3
197,2050-07-17,1
198,2050-07-18,1
199,2050-07-19,1
200,2050-07-20,1
211,2050-07-31,1
216,2050-08-05,1
218,2050-08-07,1
221,2050-08-10,4
222,2050-08-11,1
224,2050-08-13,2
228,2050-08-17,3
229,2050-08-18,6
230,2050-08-19,1
231,2050-08-20,3
235,2050-08-24,3
236,2050-08-25,4
238,2050-08-27,5
239,2050-08-28,2
242,2050-08-31,2
243,2050-09-01,2
250,2050-09-08,3
251,2050-09-09,1
254,2050-09-12,4
265,2050-09-23,4
270,2050-09-28,4
273,2050-10-01,5
276,2050-10-04,9
281,2050-10-09,4
285,2050-10-13,16
286,2050-10-14,4
296,2050-10-24,7
301,2050-10-29,3
302,2050-10-30,3
310,2050-11-07,1
312,2050-11-09,4
314,2050-11-11,4
316,2050-11-13,3
321,2050-11-18,3
323,2050-11-20,4
324,2050-11-21,3
326,2050-11-23,1
328,2050-11-25,4
346,2050-12-13,7
349,2050-12-16,8
353,2050-12-20,10
358,2050-12-25,7
363,2050-12-30,1
364,2050-12-31,5
