Day of Year,Date,Weight
0,2050-01-01,5
11,2050-01-12,12
21,2050-01-22,5
23,2050-01-24,10
44,2050-02-14,7
54,2050-02-24,9
63,2050-03-05,5
69,2050-03-11,7
70,2050-03-12,4
90,2050-04-01,4
91,2050-04-02,10
93,2050-04-04,5
100,2050-04-11,5
120,2050-05-01,1
126,2050-05-07,3
128,2050-05-09,10
142,2050-05-23,7
147,2050-05-28,6
151,2050-06-01,4
166,2050-06-16,5
168,2050-06-18,2
171,2050-06-21,2
175,2050-06-25,3
178,2050-06-28,6
185,2050-07-05,3
186,2050-07-06,9
187,2050-07-07,2
188,2050-07-08,1
196,2050-07-16,5
198,2050-07-18,2
199,2050-07-19,1
204,2050-07-24,7
213,2050-08-02,8
215,2050-08-04,2
216,2050-08-05,1
218,2050-08-07,1
220,2050-08-09,2
228,2050-08-17,2
237,2050-08-26,6
239,2050-08-28,5
240,2050-08-29,3
247,2050-09-05,8
249,2050-09-07,1
259,2050-09-17,4
262,2050-09-20,10
264,2050-09-22,6
270,2050-09-28,11
274,2050-10-02,5
277,2050-10-05,8
278,2050-10-06,6
286,2050-10-14,11
287,2050-10-15,6
290,2050-10-18,5
295,2050-10-23,10
304,2050-11-01,3
305,2050-11-02,6
311,2050-11-08,8
325,2050-11-22,32
330,2050-11-27,6
338,2050-12-05,12
354,2050-12-21,10
