Day of Year,Date,Weight
5,2050-01-06,9
10,2050-01-11,2
15,2050-01-16,3
21,2050-01-22,2
30,2050-01-31,4
31,2050-02-01,4
34,2050-02-04,5
36,2050-02-06,14
41,2050-02-11,2
49,2050-02-19,4
58,2050-02-28,4
70,2050-03-12,4
73,2050-03-15,9
75,2050-03-17,6
83,2050-03-25,2
100,2050-04-11,4
101,2050-04-12,9
104,2050-04-15,5
115,2050-04-26,6
118,2050-04-29,7
119,2050-04-30,1
122,2050-05-03,5
125,2050-05-06,3
130,2050-05-11,11
143,2050-05-24,8
145,2050-05-26,16
146,2050-05-27,2
150,2050-05-31,8
154,2050-06-04,5
158,2050-06-08,5
162,2050-06-12,3
165,2050-06-15,4
167,2050-06-17,4
171,2050-06-21,1
172,2050-06-22,1
173,2050-06-23,2
180,2050-06-30,2
182,2050-07-02,3
183,2050-07-03,1
185,2050-07-05,4
193,2050-07-13,1
196,2050-07-16,6
198,2050-07-18,2
205,2050-07-25,5
208,2050-07-28,2
209,2050-07-29,6
213,2050-08-02,1
216,2050-08-05,2
218,2050-08-07,1
219,2050-08-08,6
228,2050-08-17,3
230,2050-08-19,2
234,2050-08-23,6
235,2050-08-24,5
242,2050-08-31,2
243,2050-09-01,2
248,2050-09-06,4
258,2050-09-16,3
263,2050-09-21,8
264,2050-09-22,7
273,2050-10-01,4
275,2050-10-03,4
279,2050-10-07,7
293,2050-10-21,5
297,2050-10-25,8
301,2050-10-29,3
309,2050-11-06,12
321,2050-11-18,2
328,2050-11-25,5
329,2050-11-26,8
332,2050-11-29,9
335,2050-12-02,6
337,2050-12-04,6
342,2050-12-09,4
353,2050-12-20,13
359,2050-12-26,1
