Day of Year,Date,Weight
8,2050-01-09,4
13,2050-01-14,6
16,2050-01-17,7
32,2050-02-02,7
36,2050-02-06,14
54,2050-02-24,8
66,2050-03-08,2
69,2050-03-11,6
70,2050-03-12,4
90,2050-04-01,6
101,2050-04-12,8
103,2050-04-14,5
104,2050-04-15,6
110,2050-04-21,4
111,2050-04-22,7
122,2050-05-03,4
128,2050-05-09,12
130,2050-05-11,5
136,2050-05-17,5
138,2050-05-19,5
139,2050-05-20,6
154,2050-06-04,3
166,2050-06-16,10
172,2050-06-22,1
173,2050-06-23,2
180,2050-06-30,8
184,2050-07-04,4
190,2050-07-10,3
191,2050-07-11,3
196,2050-07-16,6
198,2050-07-18,2
199,2050-07-19,1
207,2050-07-27,6
217,2050-08-06,2
218,2050-08-07,1
225,2050-08-14,5
227,2050-08-16,2
237,2050-08-26,5
239,2050-08-28,11
241,2050-08-30,3
245,2050-09-03,5
247,2050-09-05,6
254,2050-09-12,9
259,2050-09-17,3
263,2050-09-21,6
264,2050-09-22,9
267,2050-09-25,7
275,2050-10-03,5
276,2050-10-04,6
277,2050-10-05,7
279,2050-10-07,1
280,2050-10-08,4
295,2050-10-23,7
297,2050-10-25,3
313,2050-11-10,5
314,2050-11-11,5
317,2050-11-14,10
325,2050-11-22,14
330,2050-11-27,5
331,2050-11-28,10
332,2050-11-29,6
340,2050-12-07,6
346,2050-12-13,3
354,2050-12-21,9
359,2050-12-26,5
