Day of Year,Date,Weight
9,2050-01-10,12
24,2050-01-25,9
46,2050-02-16,15
57,2050-02-27,3
58,2050-02-28,3
60,2050-03-02,4
63,2050-03-05,4
72,2050-03-14,11
85,2050-03-27,5
99,2050-04-10,9
119,2050-04-30,1
123,2050-05-04,3
126,2050-05-07,3
127,2050-05-08,5
137,2050-05-18,6
138,2050-05-19,6
139,2050-05-20,5
142,2050-05-23,6
153,2050-06-03,3
154,2050-06-04,2
155,2050-06-05,4
158,2050-06-08,10
161,2050-06-11,4
165,2050-06-15,9
168,2050-06-18,2
171,2050-06-21,1
172,2050-06-22,1
174,2050-06-24,6
176,2050-06-26,4
178,2050-06-28,2
179,2050-06-29,3
186,2050-07-06,14
187,2050-07-07,3
193,2050-07-13,3
196,2050-07-16,6
197,2050-07-17,2
205,2050-07-25,6
207,2050-07-27,5
218,2050-08-07,2
237,2050-08-26,4
239,2050-08-28,7
250,2050-09-08,2
258,2050-09-16,6
263,2050-09-21,4
270,2050-09-28,11
272,2050-09-30,3
276,2050-10-04,10
287,2050-10-15,3
291,2050-10-19,13
293,2050-10-21,12
294,2050-10-22,3
306,2050-11-03,2
308,2050-11-05,6
311,2050-11-08,6
314,2050-11-11,5
321,2050-11-18,7
326,2050-11-23,3
331,2050-11-28,10
338,2050-12-05,11
339,2050-12-06,8
345,2050-12-12,6
347,2050-12-14,6
349,2050-12-16,7
351,2050-12-18,2
356,2050-12-23,4
364,2050-12-31,2
