Day of Year,Date,Weight
0,2050-01-01,5
9,2050-01-10,6
17,2050-01-18,5
20,2050-01-21,1
29,2050-01-30,5
35,2050-02-05,6
36,2050-02-06,11
41,2050-02-11,5
59,2050-03-01,1
63,2050-03-05,4
70,2050-03-12,4
73,2050-03-15,9
99,2050-04-10,8
103,2050-04-14,5
104,2050-04-15,4
110,2050-04-21,3
120,2050-05-01,2
122,2050-05-03,2
128,2050-05-09,11
133,2050-05-14,1
136,2050-05-17,12
139,2050-05-20,4
143,2050-05-24,7
145,2050-05-26,3
149,2050-05-30,5
160,2050-06-10,5
171,2050-06-21,2
173,2050-06-23,1
180,2050-06-30,5
185,2050-07-05,4
187,2050-07-07,3
190,2050-07-10,3
196,2050-07-16,5
197,2050-07-17,2
199,2050-07-19,2
205,2050-07-25,3
210,2050-07-30,4
211,2050-07-31,2
213,2050-08-02,6
214,2050-08-03,2
215,2050-08-04,1
220,2050-08-09,1
225,2050-08-14,3
230,2050-08-19,4
235,2050-08-24,4
239,2050-08-28,7
240,2050-08-29,2
259,2050-09-17,3
261,2050-09-19,6
264,2050-09-22,8
266,2050-09-24,9
269,2050-09-27,12
270,2050-09-28,9
279,2050-10-07,3
281,2050-10-09,8
285,2050-10-13,8
287,2050-10-15,5
288,2050-10-16,8
289,2050-10-17,5
299,2050-10-27,5
307,2050-11-04,1
311,2050-11-08,6
315,2050-11-12,2
318,2050-11-15,1
323,2050-11-20,4
325,2050-11-22,6
326,2050-11-23,4
330,2050-11-27,5
331,2050-11-28,8
332,2050-11-29,6
334,2050-12-01,2
338,2050-12-05,10
341,2050-12-08,7
343,2050-12-10,3
346,2050-12-13,4
351,2050-12-18,2
356,2050-12-23,5
