Day of Year,Date,Weight
2,2050-01-03,3
3,2050-01-04,2
4,2050-01-05,1
5,2050-01-06,2
10,2050-01-11,7
14,2050-01-15,2
16,2050-01-17,4
18,2050-01-19,1
25,2050-01-26,7
34,2050-02-04,6
45,2050-02-15,7
48,2050-02-18,9
57,2050-02-27,7
62,2050-03-04,5
65,2050-03-07,6
68,2050-03-10,3
72,2050-03-14,6
90,2050-04-01,4
99,2050-04-10,9
100,2050-04-11,9
109,2050-04-20,9
113,2050-04-24,4
131,2050-05-12,2
132,2050-05-13,9
145,2050-05-26,9
148,2050-05-29,1
149,2050-05-30,1
150,2050-05-31,2
155,2050-06-05,5
165,2050-06-15,11
171,2050-06-21,2
172,2050-06-22,1
174,2050-06-24,1
175,2050-06-25,3
176,2050-06-26,2
180,2050-06-30,2
181,2050-07-01,4
183,2050-07-03,2
184,2050-07-04,3
188,2050-07-08,3
195,2050-07-15,2
197,2050-07-17,3
200,2050-07-20,2
204,2050-07-24,1
208,2050-07-28,1
209,2050-07-29,2
211,2050-07-31,2
214,2050-08-03,2
215,2050-08-04,3
217,2050-08-06,2
220,2050-08-09,4
222,2050-08-11,2
228,2050-08-17,4
230,2050-08-19,1
232,2050-08-21,4
233,2050-08-22,1
234,2050-08-23,3
236,2050-08-25,4
238,2050-08-27,1
243,2050-09-01,1
245,2050-09-03,2
250,2050-09-08,5
251,2050-09-09,2
252,2050-09-10,3
253,2050-09-11,9
254,2050-09-12,7
256,2050-09-14,3
259,2050-09-17,13
266,2050-09-24,5
274,2050-10-02,8
279,2050-10-07,10
282,2050-10-10,11
283,2050-10-11,4
289,2050-10-17,8
308,2050-11-05,3
314,2050-11-11,3
320,2050-11-17,9
333,2050-11-30,6
335,2050-12-02,3
337,2050-12-04,7
345,2050-12-12,7
349,2050-12-16,3
351,2050-12-18,2
352,2050-12-19,6
364,2050-12-31,5
