Day of Year,Date,Weight
0,2050-01-01,2
2,2050-01-03,4
3,2050-01-04,2
6,2050-01-07,2
9,2050-01-10,4
13,2050-01-14,4
16,2050-01-17,5
17,2050-01-18,1
18,2050-01-19,1
20,2050-01-21,2
21,2050-01-22,1
29,2050-01-30,11
31,2050-02-01,4
34,2050-02-04,6
42,2050-02-12,3
45,2050-02-15,7
48,2050-02-18,8
51,2050-02-21,8
62,2050-03-04,3
68,2050-03-10,3
83,2050-03-25,2
85,2050-03-27,9
87,2050-03-29,6
95,2050-04-06,15
104,2050-04-15,3
114,2050-04-25,15
125,2050-05-06,4
136,2050-05-17,10
137,2050-05-18,10
139,2050-05-20,4
140,2050-05-21,2
146,2050-05-27,2
149,2050-05-30,1
150,2050-05-31,2
153,2050-06-03,7
161,2050-06-11,1
165,2050-06-15,10
170,2050-06-20,1
172,2050-06-22,1
174,2050-06-24,2
175,2050-06-25,3
176,2050-06-26,2
182,2050-07-02,3
184,2050-07-04,4
186,2050-07-06,2
187,2050-07-07,2
189,2050-07-09,1
192,2050-07-12,1
194,2050-07-14,2
196,2050-07-16,2
200,2050-07-20,1
204,2050-07-24,1
208,2050-07-28,1
209,2050-07-29,2
211,2050-07-31,2
213,2050-08-02,1
215,2050-08-04,3
216,2050-08-05,1
217,2050-08-06,1
221,2050-08-10,5
222,2050-08-11,2
223,2050-08-12,2
225,2050-08-14,2
226,2050-08-15,2
230,2050-08-19,1
232,2050-08-21,4
233,2050-08-22,1
234,2050-08-23,3
236,2050-08-25,5
238,2050-08-27,1
240,2050-08-29,3
244,2050-09-02,1
245,2050-09-03,3
246,2050-09-04,2
250,2050-09-08,5
254,2050-09-12,11
257,2050-09-15,2
259,2050-09-17,9
274,2050-10-02,7
277,2050-10-05,5
284,2050-10-12,9
286,2050-10-14,4
300,2050-10-28,9
310,2050-11-07,1
311,2050-11-08,5
314,2050-11-11,4
319,2050-11-16,2
320,2050-11-17,10
337,2050-12-04,6
347,2050-12-14,10
349,2050-12-16,3
351,2050-12-18,3
