Day of Year,Date,Weight
9,2050-01-10,23
16,2050-01-17,8
23,2050-01-24,10
36,2050-02-06,19
56,2050-02-26,2
63,2050-03-05,7
72,2050-03-14,22
79,2050-03-21,11
84,2050-03-26,8
104,2050-04-15,6
109,2050-04-20,11
131,2050-05-12,5
136,2050-05-17,15
137,2050-05-18,13
154,2050-06-04,3
161,2050-06-11,6
196,2050-07-16,9
197,2050-07-17,5
200,2050-07-20,12
203,2050-07-23,3
205,2050-07-25,7
213,2050-08-02,15
235,2050-08-24,9
255,2050-09-13,15
257,2050-09-15,16
259,2050-09-17,6
260,2050-09-18,20
266,2050-09-24,8
286,2050-10-14,9
289,2050-10-17,16
292,2050-10-20,10
295,2050-10-23,11
319,2050-11-16,5
354,2050-12-21,20
