Day of Year,Date,Weight
0,2050-01-01,5
7,2050-01-08,3
11,2050-01-12,10
25,2050-01-26,3
31,2050-02-01,2
35,2050-02-05,6
44,2050-02-14,5
46,2050-02-16,11
49,2050-02-19,3
57,2050-02-27,2
60,2050-03-02,6
68,2050-03-10,6
70,2050-03-12,4
73,2050-03-15,7
77,2050-03-19,3
78,2050-03-20,3
85,2050-03-27,3
99,2050-04-10,7
100,2050-04-11,4
104,2050-04-15,4
116,2050-04-27,6
122,2050-05-03,2
123,2050-05-04,2
125,2050-05-06,1
127,2050-05-08,3
128,2050-05-09,9
132,2050-05-13,2
136,2050-05-17,9
143,2050-05-24,6
147,2050-05-28,4
159,2050-06-09,4
171,2050-06-21,1
172,2050-06-22,1
173,2050-06-23,1
176,2050-06-26,4
178,2050-06-28,2
184,2050-07-04,4
186,2050-07-06,11
188,2050-07-08,1
196,2050-07-16,6
197,2050-07-17,3
204,2050-07-24,12
209,2050-07-29,4
213,2050-08-02,7
216,2050-08-05,1
224,2050-08-13,2
225,2050-08-14,2
228,2050-08-17,2
242,2050-08-31,3
243,2050-09-01,2
245,2050-09-03,5
251,2050-09-09,3
259,2050-09-17,3
262,2050-09-20,9
263,2050-09-21,6
264,2050-09-22,6
265,2050-09-23,4
266,2050-09-24,6
267,2050-09-25,7
269,2050-09-27,7
273,2050-10-01,3
275,2050-10-03,6
281,2050-10-09,7
286,2050-10-14,4
290,2050-10-18,5
314,2050-11-11,5
320,2050-11-17,5
322,2050-11-19,2
323,2050-11-20,5
325,2050-11-22,11
326,2050-11-23,3
332,2050-11-29,5
338,2050-12-05,11
340,2050-12-07,6
341,2050-12-08,5
351,2050-12-18,3
360,2050-12-27,1
362,2050-12-29,6
364,2050-12-31,2
