Day of Year,Date,Weight
9,2050-01-10,9
11,2050-01-12,11
16,2050-01-17,5
22,2050-01-23,1
29,2050-01-30,3
34,2050-02-04,6
36,2050-02-06,11
40,2050-02-10,6
53,2050-02-23,7
57,2050-02-27,3
58,2050-02-28,4
61,2050-03-03,2
62,2050-03-04,1
70,2050-03-12,5
71,2050-03-13,4
88,2050-03-30,3
92,2050-04-03,4
97,2050-04-08,3
101,2050-04-12,7
102,2050-04-13,2
108,2050-04-19,3
115,2050-04-26,4
120,2050-05-01,2
122,2050-05-03,3
125,2050-05-06,1
126,2050-05-07,2
128,2050-05-09,9
133,2050-05-14,1
136,2050-05-17,7
139,2050-05-20,4
142,2050-05-23,7
149,2050-05-30,5
158,2050-06-08,6
161,2050-06-11,3
165,2050-06-15,3
171,2050-06-21,1
172,2050-06-22,1
173,2050-06-23,1
174,2050-06-24,2
175,2050-06-25,3
176,2050-06-26,3
178,2050-06-28,2
180,2050-06-30,6
182,2050-07-02,2
184,2050-07-04,3
191,2050-07-11,2
196,2050-07-16,2
197,2050-07-17,3
199,2050-07-19,1
204,2050-07-24,7
211,2050-07-31,3
213,2050-08-02,3
216,2050-08-05,1
217,2050-08-06,2
222,2050-08-11,3
225,2050-08-14,2
228,2050-08-17,2
229,2050-08-18,1
234,2050-08-23,5
235,2050-08-24,4
237,2050-08-26,5
254,2050-09-12,7
259,2050-09-17,4
262,2050-09-20,3
263,2050-09-21,2
266,2050-09-24,5
267,2050-09-25,3
269,2050-09-27,6
270,2050-09-28,8
272,2050-09-30,4
274,2050-10-02,4
282,2050-10-10,2
285,2050-10-13,8
287,2050-10-15,4
288,2050-10-16,8
300,2050-10-28,5
304,2050-11-01,2
308,2050-11-05,5
311,2050-11-08,6
314,2050-11-11,5
317,2050-11-14,6
321,2050-11-18,3
330,2050-11-27,5
334,2050-12-01,3
336,2050-12-03,5
337,2050-12-04,1
340,2050-12-07,5
341,2050-12-08,4
342,2050-12-09,3
352,2050-12-19,1
354,2050-12-21,6
359,2050-12-26,4
363,2050-12-30,1
