Day of Year,Date,Weight
9,2050-01-10,7
29,2050-01-30,5
30,2050-01-31,2
31,2050-02-01,6
36,2050-02-06,13
53,2050-02-23,8
57,2050-02-27,6
63,2050-03-05,5
68,2050-03-10,15
86,2050-03-28,2
88,2050-03-30,3
91,2050-04-02,8
92,2050-04-03,6
99,2050-04-10,5
104,2050-04-15,6
110,2050-04-21,5
115,2050-04-26,8
126,2050-05-07,3
128,2050-05-09,10
138,2050-05-19,4
139,2050-05-20,5
154,2050-06-04,2
155,2050-06-05,4
161,2050-06-11,4
164,2050-06-14,4
170,2050-06-20,7
171,2050-06-21,2
185,2050-07-05,4
186,2050-07-06,11
187,2050-07-07,3
193,2050-07-13,4
196,2050-07-16,7
197,2050-07-17,3
204,2050-07-24,8
205,2050-07-25,5
225,2050-08-14,4
234,2050-08-23,8
238,2050-08-27,5
250,2050-09-08,4
259,2050-09-17,4
261,2050-09-19,5
262,2050-09-20,8
268,2050-09-26,5
269,2050-09-27,10
270,2050-09-28,11
272,2050-09-30,4
277,2050-10-05,7
278,2050-10-06,2
286,2050-10-14,4
287,2050-10-15,4
293,2050-10-21,9
300,2050-10-28,3
307,2050-11-04,2
313,2050-11-10,4
317,2050-11-14,7
330,2050-11-27,6
331,2050-11-28,10
332,2050-11-29,7
340,2050-12-07,5
342,2050-12-09,6
354,2050-12-21,15
356,2050-12-23,6
