Day of Year,Date,Weight
2,2050-01-03,4
10,2050-01-11,7
15,2050-01-16,2
16,2050-01-17,8
20,2050-01-21,3
29,2050-01-30,13
32,2050-02-02,13
34,2050-02-04,7
55,2050-02-25,16
57,2050-02-27,7
87,2050-03-29,11
96,2050-04-07,20
109,2050-04-20,12
112,2050-04-23,6
132,2050-05-13,8
135,2050-05-16,17
136,2050-05-17,13
144,2050-05-25,4
150,2050-05-31,4
171,2050-06-21,2
178,2050-06-28,8
181,2050-07-01,4
183,2050-07-03,2
184,2050-07-04,4
186,2050-07-06,2
188,2050-07-08,5
197,2050-07-17,3
208,2050-07-28,1
211,2050-07-31,2
214,2050-08-03,2
215,2050-08-04,4
217,2050-08-06,2
220,2050-08-09,8
227,2050-08-16,4
232,2050-08-21,5
234,2050-08-23,5
236,2050-08-25,4
241,2050-08-30,3
245,2050-09-03,3
250,2050-09-08,6
251,2050-09-09,4
256,2050-09-14,3
258,2050-09-16,4
268,2050-09-26,17
272,2050-09-30,15
286,2050-10-14,8
289,2050-10-17,14
314,2050-11-11,4
320,2050-11-17,9
337,2050-12-04,7
349,2050-12-16,5
354,2050-12-21,13
364,2050-12-31,8
