Day of Year,Date,Weight
5,2050-01-06,4
9,2050-01-10,8
13,2050-01-14,3
15,2050-01-16,3
20,2050-01-21,1
28,2050-01-29,6
30,2050-01-31,5
36,2050-02-06,14
50,2050-02-20,8
55,2050-02-25,3
59,2050-03-01,9
64,2050-03-06,4
70,2050-03-12,4
71,2050-03-13,6
73,2050-03-15,10
82,2050-03-24,2
86,2050-03-28,2
90,2050-04-01,2
91,2050-04-02,3
97,2050-04-08,4
101,2050-04-12,7
104,2050-04-15,4
113,2050-04-24,3
115,2050-04-26,4
119,2050-04-30,1
126,2050-05-07,3
127,2050-05-08,6
130,2050-05-11,9
137,2050-05-18,4
143,2050-05-24,7
145,2050-05-26,13
146,2050-05-27,1
148,2050-05-29,1
154,2050-06-04,4
155,2050-06-05,5
165,2050-06-15,4
167,2050-06-17,4
168,2050-06-18,2
171,2050-06-21,1
172,2050-06-22,1
176,2050-06-26,4
180,2050-06-30,2
182,2050-07-02,3
185,2050-07-05,3
188,2050-07-08,2
192,2050-07-12,1
193,2050-07-13,1
196,2050-07-16,2
197,2050-07-17,1
198,2050-07-18,1
199,2050-07-19,1
203,2050-07-23,2
205,2050-07-25,6
207,2050-07-27,4
209,2050-07-29,4
210,2050-07-30,1
213,2050-08-02,1
218,2050-08-07,1
219,2050-08-08,5
228,2050-08-17,3
230,2050-08-19,1
232,2050-08-21,4
234,2050-08-23,4
235,2050-08-24,6
239,2050-08-28,2
240,2050-08-29,2
242,2050-08-31,2
243,2050-09-01,2
248,2050-09-06,4
249,2050-09-07,1
258,2050-09-16,2
263,2050-09-21,5
265,2050-09-23,2
270,2050-09-28,7
273,2050-10-01,3
286,2050-10-14,2
288,2050-10-16,6
291,2050-10-19,9
296,2050-10-24,7
300,2050-10-28,6
301,2050-10-29,3
304,2050-11-01,2
310,2050-11-07,1
315,2050-11-12,1
327,2050-11-24,3
328,2050-11-25,4
329,2050-11-26,7
330,2050-11-27,1
332,2050-11-29,4
335,2050-12-02,3
342,2050-12-09,4
345,2050-12-12,5
347,2050-12-14,4
351,2050-12-18,6
358,2050-12-25,7
