Day of Year,Date,Weight
0,2050-01-01,6
4,2050-01-05,6
9,2050-01-10,11
13,2050-01-14,7
34,2050-02-04,7
36,2050-02-06,21
61,2050-03-03,8
77,2050-03-19,5
91,2050-04-02,7
95,2050-04-06,5
109,2050-04-20,8
126,2050-05-07,5
136,2050-05-17,6
147,2050-05-28,3
160,2050-06-10,3
166,2050-06-16,12
169,2050-06-19,6
171,2050-06-21,1
172,2050-06-22,2
189,2050-07-09,3
191,2050-07-11,9
193,2050-07-13,3
198,2050-07-18,1
205,2050-07-25,6
210,2050-07-30,10
220,2050-08-09,4
221,2050-08-10,1
223,2050-08-12,5
225,2050-08-14,7
233,2050-08-22,7
235,2050-08-24,8
239,2050-08-28,6
240,2050-08-29,2
245,2050-09-03,8
253,2050-09-11,10
254,2050-09-12,7
261,2050-09-19,10
270,2050-09-28,9
272,2050-09-30,10
274,2050-10-02,7
281,2050-10-09,8
285,2050-10-13,13
289,2050-10-17,11
293,2050-10-21,11
298,2050-10-26,15
329,2050-11-26,10
347,2050-12-14,7
348,2050-12-15,5
350,2050-12-17,7
354,2050-12-21,16
