Day of Year,Date,Weight
0,2050-01-01,5
7,2050-01-08,2
9,2050-01-10,8
11,2050-01-12,11
16,2050-01-17,5
21,2050-01-22,2
22,2050-01-23,1
23,2050-01-24,8
24,2050-01-25,6
26,2050-01-27,4
31,2050-02-01,3
46,2050-02-16,11
54,2050-02-24,6
63,2050-03-05,4
70,2050-03-12,4
72,2050-03-14,11
84,2050-03-26,2
90,2050-04-01,3
91,2050-04-02,5
101,2050-04-12,9
102,2050-04-13,2
105,2050-04-16,3
109,2050-04-20,4
125,2050-05-06,1
128,2050-05-09,10
131,2050-05-12,2
133,2050-05-14,1
137,2050-05-18,3
139,2050-05-20,4
142,2050-05-23,6
145,2050-05-26,2
156,2050-06-06,2
158,2050-06-08,7
162,2050-06-12,4
172,2050-06-22,1
175,2050-06-25,3
176,2050-06-26,4
178,2050-06-28,3
180,2050-06-30,7
187,2050-07-07,2
188,2050-07-08,1
189,2050-07-09,2
196,2050-07-16,5
197,2050-07-17,2
199,2050-07-19,1
205,2050-07-25,4
207,2050-07-27,4
210,2050-07-30,4
213,2050-08-02,4
215,2050-08-04,1
216,2050-08-05,1
218,2050-08-07,1
225,2050-08-14,3
229,2050-08-18,2
233,2050-08-22,3
234,2050-08-23,5
235,2050-08-24,5
239,2050-08-28,5
240,2050-08-29,2
242,2050-08-31,2
243,2050-09-01,2
254,2050-09-12,6
256,2050-09-14,2
257,2050-09-15,5
259,2050-09-17,4
263,2050-09-21,8
264,2050-09-22,8
266,2050-09-24,8
267,2050-09-25,6
268,2050-09-26,4
273,2050-10-01,3
285,2050-10-13,8
287,2050-10-15,5
288,2050-10-16,12
300,2050-10-28,8
303,2050-10-31,1
319,2050-11-16,3
330,2050-11-27,5
342,2050-12-09,3
349,2050-12-16,7
350,2050-12-17,1
354,2050-12-21,9
356,2050-12-23,3
358,2050-12-25,6
