Day of Year,Date,Weight
9,2050-01-10,14
22,2050-01-23,3
36,2050-02-06,18
79,2050-03-21,10
91,2050-04-02,10
97,2050-04-08,11
99,2050-04-10,7
104,2050-04-15,7
109,2050-04-20,6
117,2050-04-28,8
122,2050-05-03,7
128,2050-05-09,10
137,2050-05-18,14
142,2050-05-23,7
145,2050-05-26,8
151,2050-06-01,8
153,2050-06-03,4
175,2050-06-25,6
186,2050-07-06,16
193,2050-07-13,4
194,2050-07-14,8
196,2050-07-16,5
204,2050-07-24,12
207,2050-07-27,9
248,2050-09-06,4
257,2050-09-15,8
259,2050-09-17,5
269,2050-09-27,28
276,2050-10-04,9
287,2050-10-15,5
293,2050-10-21,11
300,2050-10-28,8
309,2050-11-06,11
311,2050-11-08,13
313,2050-11-10,12
330,2050-11-27,6
336,2050-12-03,9
341,2050-12-08,7
355,2050-12-22,14
364,2050-12-31,3
