Day of Year,Date,Weight
5,2050-01-06,7
15,2050-01-16,3
24,2050-01-25,4
36,2050-02-06,14
50,2050-02-20,16
55,2050-02-25,4
60,2050-03-02,9
68,2050-03-10,11
69,2050-03-11,6
87,2050-03-29,2
92,2050-04-03,10
97,2050-04-08,5
100,2050-04-11,7
101,2050-04-12,7
104,2050-04-15,6
115,2050-04-26,10
126,2050-05-07,6
128,2050-05-09,21
129,2050-05-10,6
150,2050-05-31,5
165,2050-06-15,6
167,2050-06-17,8
171,2050-06-21,2
175,2050-06-25,6
177,2050-06-27,12
182,2050-07-02,4
198,2050-07-18,2
199,2050-07-19,2
204,2050-07-24,2
207,2050-07-27,7
217,2050-08-06,5
221,2050-08-10,5
222,2050-08-11,1
228,2050-08-17,6
229,2050-08-18,14
234,2050-08-23,7
236,2050-08-25,5
241,2050-08-30,2
245,2050-09-03,5
251,2050-09-09,1
257,2050-09-15,8
268,2050-09-26,16
270,2050-09-28,10
280,2050-10-08,4
300,2050-10-28,13
328,2050-11-25,6
342,2050-12-09,6
346,2050-12-13,8
349,2050-12-16,16
354,2050-12-21,17
