Day of Year,Date,Weight
13,2050-01-14,9
16,2050-01-17,7
36,2050-02-06,24
63,2050-03-05,8
68,2050-03-10,12
91,2050-04-02,10
104,2050-04-15,7
117,2050-04-28,12
130,2050-05-11,11
136,2050-05-17,12
142,2050-05-23,20
173,2050-06-23,2
185,2050-07-05,6
186,2050-07-06,12
192,2050-07-12,5
197,2050-07-17,3
204,2050-07-24,16
207,2050-07-27,9
210,2050-07-30,13
234,2050-08-23,11
262,2050-09-20,14
266,2050-09-24,12
270,2050-09-28,15
275,2050-10-03,8
286,2050-10-14,9
291,2050-10-19,20
297,2050-10-25,5
312,2050-11-09,13
313,2050-11-10,8
320,2050-11-17,11
330,2050-11-27,6
354,2050-12-21,15
355,2050-12-22,20
