Day of Year,Date,Weight
2,2050-01-03,2
7,2050-01-08,4
14,2050-01-15,2
15,2050-01-16,3
16,2050-01-17,7
24,2050-01-25,13
30,2050-01-31,9
31,2050-02-01,8
35,2050-02-05,5
48,2050-02-18,9
60,2050-03-02,7
84,2050-03-26,7
94,2050-04-05,10
97,2050-04-08,7
98,2050-04-09,3
105,2050-04-16,2
114,2050-04-25,7
115,2050-04-26,10
125,2050-05-06,4
129,2050-05-10,11
130,2050-05-11,7
146,2050-05-27,3
148,2050-05-29,1
152,2050-06-02,2
163,2050-06-13,10
167,2050-06-17,9
180,2050-06-30,1
187,2050-07-07,5
189,2050-07-09,2
191,2050-07-11,5
192,2050-07-12,9
195,2050-07-15,2
197,2050-07-17,4
198,2050-07-18,2
203,2050-07-23,3
209,2050-07-29,6
216,2050-08-05,2
218,2050-08-07,4
221,2050-08-10,3
223,2050-08-12,6
231,2050-08-20,4
232,2050-08-21,6
239,2050-08-28,3
240,2050-08-29,5
243,2050-09-01,6
254,2050-09-12,16
259,2050-09-17,7
276,2050-10-04,16
283,2050-10-11,8
291,2050-10-19,6
297,2050-10-25,8
302,2050-10-30,1
303,2050-10-31,1
313,2050-11-10,5
314,2050-11-11,7
318,2050-11-15,14
322,2050-11-19,5
340,2050-12-07,10
355,2050-12-22,9
359,2050-12-26,2
364,2050-12-31,10
