Day of Year,Date,Weight
7,2050-01-08,2
8,2050-01-09,10
11,2050-01-12,15
12,2050-01-13,3
16,2050-01-17,4
23,2050-01-24,3
32,2050-02-02,2
34,2050-02-04,7
45,2050-02-15,10
51,2050-02-21,3
70,2050-03-12,2
77,2050-03-19,5
79,2050-03-21,2
85,2050-03-27,2
89,2050-03-31,1
98,2050-04-09,3
102,2050-04-13,1
106,2050-04-17,2
118,2050-04-29,1
120,2050-05-01,2
121,2050-05-02,3
126,2050-05-07,2
135,2050-05-16,3
136,2050-05-17,6
141,2050-05-22,10
142,2050-05-23,5
144,2050-05-25,5
147,2050-05-28,3
149,2050-05-30,2
153,2050-06-03,1
154,2050-06-04,4
156,2050-06-06,2
168,2050-06-18,5
169,2050-06-19,2
171,2050-06-21,1
172,2050-06-22,1
173,2050-06-23,2
174,2050-06-24,5
177,2050-06-27,5
178,2050-06-28,4
180,2050-06-30,3
186,2050-07-06,5
187,2050-07-07,1
188,2050-07-08,1
189,2050-07-09,3
191,2050-07-11,2
195,2050-07-15,5
197,2050-07-17,2
199,2050-07-19,1
204,2050-07-24,8
206,2050-07-26,3
207,2050-07-27,4
213,2050-08-02,3
216,2050-08-05,1
218,2050-08-07,1
222,2050-08-11,1
228,2050-08-17,2
234,2050-08-23,7
238,2050-08-27,2
248,2050-09-06,2
250,2050-09-08,2
254,2050-09-12,5
258,2050-09-16,5
262,2050-09-20,5
263,2050-09-21,4
270,2050-09-28,6
272,2050-09-30,6
275,2050-10-03,4
281,2050-10-09,6
284,2050-10-12,3
285,2050-10-13,8
286,2050-10-14,4
287,2050-10-15,3
288,2050-10-16,8
293,2050-10-21,10
294,2050-10-22,4
298,2050-10-26,12
308,2050-11-05,4
309,2050-11-06,5
320,2050-11-17,6
322,2050-11-19,3
334,2050-12-01,2
338,2050-12-05,4
339,2050-12-06,3
341,2050-12-08,2
342,2050-12-09,7
346,2050-12-13,5
347,2050-12-14,3
350,2050-12-17,5
354,2050-12-21,7
362,2050-12-29,3
363,2050-12-30,1
364,2050-12-31,2
