Day of Year,Date,Weight
4,2050-01-05,4
9,2050-01-10,26
13,2050-01-14,9
14,2050-01-15,2
15,2050-01-16,3
35,2050-02-05,5
55,2050-02-25,18
58,2050-02-28,29
59,2050-03-01,21
98,2050-04-09,8
103,2050-04-14,4
109,2050-04-20,13
135,2050-05-16,19
139,2050-05-20,8
165,2050-06-15,11
167,2050-06-17,8
170,2050-06-20,3
172,2050-06-22,2
175,2050-06-25,5
197,2050-07-17,3
199,2050-07-19,1
214,2050-08-03,2
217,2050-08-06,3
219,2050-08-08,7
221,2050-08-10,2
223,2050-08-12,10
225,2050-08-14,8
228,2050-08-17,9
234,2050-08-23,12
237,2050-08-26,7
245,2050-09-03,7
257,2050-09-15,10
263,2050-09-21,36
270,2050-09-28,15
275,2050-10-03,9
280,2050-10-08,6
307,2050-11-04,20
