Day of Year,Date,Weight
0,2050-01-01,5
2,2050-01-03,8
16,2050-01-17,6
23,2050-01-24,10
35,2050-02-05,6
36,2050-02-06,17
63,2050-03-05,5
84,2050-03-26,4
85,2050-03-27,6
92,2050-04-03,4
109,2050-04-20,9
131,2050-05-12,3
133,2050-05-14,1
136,2050-05-17,8
142,2050-05-23,7
148,2050-05-29,1
154,2050-06-04,2
156,2050-06-06,2
168,2050-06-18,3
171,2050-06-21,1
172,2050-06-22,1
173,2050-06-23,1
175,2050-06-25,4
178,2050-06-28,4
181,2050-07-01,2
184,2050-07-04,4
193,2050-07-13,3
196,2050-07-16,5
198,2050-07-18,2
205,2050-07-25,5
206,2050-07-26,6
207,2050-07-27,8
209,2050-07-29,3
213,2050-08-02,6
218,2050-08-07,2
219,2050-08-08,1
225,2050-08-14,4
235,2050-08-24,9
245,2050-09-03,5
248,2050-09-06,2
254,2050-09-12,6
255,2050-09-13,7
257,2050-09-15,4
259,2050-09-17,5
262,2050-09-20,11
266,2050-09-24,7
267,2050-09-25,4
269,2050-09-27,7
270,2050-09-28,8
273,2050-10-01,3
274,2050-10-02,5
278,2050-10-06,6
281,2050-10-09,5
284,2050-10-12,5
286,2050-10-14,6
289,2050-10-17,8
291,2050-10-19,14
294,2050-10-22,2
305,2050-11-02,5
315,2050-11-12,2
320,2050-11-17,7
322,2050-11-19,4
330,2050-11-27,5
331,2050-11-28,11
334,2050-12-01,3
339,2050-12-06,8
341,2050-12-08,5
342,2050-12-09,3
343,2050-12-10,4
346,2050-12-13,4
350,2050-12-17,1
356,2050-12-23,5
