Day of Year,Date,Weight
11,2050-01-12,14
36,2050-02-06,16
40,2050-02-10,7
53,2050-02-23,10
57,2050-02-27,4
58,2050-02-28,6
59,2050-03-01,1
72,2050-03-14,9
91,2050-04-02,8
93,2050-04-04,9
97,2050-04-08,6
99,2050-04-10,9
105,2050-04-16,3
107,2050-04-18,2
109,2050-04-20,4
117,2050-04-28,7
125,2050-05-06,3
126,2050-05-07,7
136,2050-05-17,9
137,2050-05-18,7
139,2050-05-20,5
145,2050-05-26,12
148,2050-05-29,1
153,2050-06-03,4
178,2050-06-28,3
180,2050-06-30,10
196,2050-07-16,6
197,2050-07-17,2
205,2050-07-25,5
206,2050-07-26,4
220,2050-08-09,1
225,2050-08-14,7
234,2050-08-23,8
235,2050-08-24,9
237,2050-08-26,6
239,2050-08-28,7
240,2050-08-29,3
251,2050-09-09,4
259,2050-09-17,4
270,2050-09-28,12
276,2050-10-04,18
285,2050-10-13,13
287,2050-10-15,5
300,2050-10-28,13
305,2050-11-02,7
335,2050-12-02,4
338,2050-12-05,10
340,2050-12-07,5
342,2050-12-09,4
344,2050-12-11,3
354,2050-12-21,11
356,2050-12-23,5
358,2050-12-25,5
362,2050-12-29,8
