Day of Year,Date,Weight
0,2050-01-01,5
7,2050-01-08,2
9,2050-01-10,7
13,2050-01-14,3
20,2050-01-21,1
26,2050-01-27,2
29,2050-01-30,4
32,2050-02-02,6
34,2050-02-04,6
36,2050-02-06,7
40,2050-02-10,7
41,2050-02-11,5
53,2050-02-23,8
65,2050-03-07,2
70,2050-03-12,4
77,2050-03-19,4
78,2050-03-20,3
91,2050-04-02,7
98,2050-04-09,2
99,2050-04-10,5
100,2050-04-11,4
101,2050-04-12,9
104,2050-04-15,2
122,2050-05-03,3
123,2050-05-04,2
127,2050-05-08,2
128,2050-05-09,8
130,2050-05-11,3
133,2050-05-14,1
136,2050-05-17,5
137,2050-05-18,5
138,2050-05-19,3
143,2050-05-24,4
147,2050-05-28,3
158,2050-06-08,3
159,2050-06-09,3
161,2050-06-11,4
167,2050-06-17,1
168,2050-06-18,3
171,2050-06-21,1
172,2050-06-22,1
173,2050-06-23,1
174,2050-06-24,3
175,2050-06-25,3
183,2050-07-03,1
187,2050-07-07,2
196,2050-07-16,6
198,2050-07-18,2
199,2050-07-19,2
200,2050-07-20,5
206,2050-07-26,8
207,2050-07-27,6
213,2050-08-02,6
214,2050-08-03,2
215,2050-08-04,1
216,2050-08-05,1
219,2050-08-08,1
222,2050-08-11,4
225,2050-08-14,3
226,2050-08-15,1
227,2050-08-16,1
231,2050-08-20,1
232,2050-08-21,2
233,2050-08-22,2
236,2050-08-25,2
237,2050-08-26,4
238,2050-08-27,3
247,2050-09-05,3
251,2050-09-09,1
255,2050-09-13,5
259,2050-09-17,3
262,2050-09-20,5
266,2050-09-24,7
270,2050-09-28,10
274,2050-10-02,5
277,2050-10-05,3
287,2050-10-15,4
288,2050-10-16,9
290,2050-10-18,4
294,2050-10-22,2
295,2050-10-23,4
304,2050-11-01,2
305,2050-11-02,4
306,2050-11-03,2
313,2050-11-10,3
319,2050-11-16,3
322,2050-11-19,3
325,2050-11-22,7
326,2050-11-23,3
327,2050-11-24,3
330,2050-11-27,5
331,2050-11-28,10
340,2050-12-07,3
346,2050-12-13,4
354,2050-12-21,9
356,2050-12-23,3
357,2050-12-24,3
