Day of Year,Date,Weight
4,2050-01-05,5
9,2050-01-10,24
12,2050-01-13,22
46,2050-02-16,15
83,2050-03-25,10
102,2050-04-13,13
112,2050-04-23,2
115,2050-04-26,14
141,2050-05-22,13
146,2050-05-27,4
149,2050-05-30,2
163,2050-06-13,13
183,2050-07-03,8
193,2050-07-13,13
215,2050-08-04,6
219,2050-08-08,7
221,2050-08-10,5
223,2050-08-12,10
243,2050-09-01,10
251,2050-09-09,5
263,2050-09-21,25
266,2050-09-24,15
276,2050-10-04,20
279,2050-10-07,23
291,2050-10-19,16
313,2050-11-10,5
318,2050-11-15,21
322,2050-11-19,9
335,2050-12-02,14
336,2050-12-03,16
