Day of Year,Date,Weight
0,2050-01-01,5
2,2050-01-03,10
6,2050-01-07,3
13,2050-01-14,8
23,2050-01-24,10
29,2050-01-30,7
39,2050-02-09,22
70,2050-03-12,5
73,2050-03-15,18
80,2050-03-22,9
88,2050-03-30,7
93,2050-04-04,5
111,2050-04-22,8
113,2050-04-24,1
128,2050-05-09,11
139,2050-05-20,5
142,2050-05-23,9
144,2050-05-25,9
150,2050-05-31,4
158,2050-06-08,13
185,2050-07-05,5
186,2050-07-06,15
192,2050-07-12,5
194,2050-07-14,7
196,2050-07-16,7
207,2050-07-27,8
239,2050-08-28,11
244,2050-09-02,4
257,2050-09-15,10
259,2050-09-17,5
262,2050-09-20,10
263,2050-09-21,11
272,2050-09-30,6
277,2050-10-05,10
287,2050-10-15,5
293,2050-10-21,9
313,2050-11-10,7
314,2050-11-11,6
322,2050-11-19,4
324,2050-11-21,9
328,2050-11-25,1
331,2050-11-28,11
349,2050-12-16,10
353,2050-12-20,5
354,2050-12-21,13
357,2050-12-24,2
