Day of Year,Date,Weight
3,2050-01-04,6
12,2050-01-13,1
17,2050-01-18,4
29,2050-01-30,5
34,2050-02-04,6
39,2050-02-09,13
40,2050-02-10,7
48,2050-02-18,2
60,2050-03-02,2
77,2050-03-19,3
83,2050-03-25,2
99,2050-04-10,8
100,2050-04-11,3
101,2050-04-12,9
112,2050-04-23,1
117,2050-04-28,6
118,2050-04-29,1
122,2050-05-03,2
124,2050-05-05,1
128,2050-05-09,8
129,2050-05-10,4
133,2050-05-14,1
137,2050-05-18,5
142,2050-05-23,8
145,2050-05-26,2
147,2050-05-28,3
151,2050-06-01,3
161,2050-06-11,3
162,2050-06-12,4
166,2050-06-16,4
172,2050-06-22,1
175,2050-06-25,3
178,2050-06-28,2
179,2050-06-29,2
180,2050-06-30,5
185,2050-07-05,2
186,2050-07-06,4
187,2050-07-07,3
189,2050-07-09,2
196,2050-07-16,7
198,2050-07-18,2
199,2050-07-19,1
205,2050-07-25,5
207,2050-07-27,5
213,2050-08-02,5
218,2050-08-07,1
227,2050-08-16,1
228,2050-08-17,2
234,2050-08-23,6
237,2050-08-26,4
239,2050-08-28,6
240,2050-08-29,2
251,2050-09-09,2
252,2050-09-10,1
256,2050-09-14,1
259,2050-09-17,4
261,2050-09-19,4
262,2050-09-20,5
264,2050-09-22,7
266,2050-09-24,6
269,2050-09-27,5
270,2050-09-28,9
272,2050-09-30,4
279,2050-10-07,2
285,2050-10-13,7
287,2050-10-15,4
288,2050-10-16,8
290,2050-10-18,4
293,2050-10-21,6
296,2050-10-24,4
298,2050-10-26,3
299,2050-10-27,4
300,2050-10-28,5
306,2050-11-03,2
308,2050-11-05,3
313,2050-11-10,3
314,2050-11-11,4
319,2050-11-16,3
320,2050-11-17,4
323,2050-11-20,2
325,2050-11-22,8
328,2050-11-25,1
330,2050-11-27,5
331,2050-11-28,10
335,2050-12-02,3
336,2050-12-03,4
341,2050-12-08,3
342,2050-12-09,3
354,2050-12-21,12
359,2050-12-26,2
