Day of Year,Date,Weight
4,2050-01-05,4
5,2050-01-06,6
7,2050-01-08,2
14,2050-01-15,3
16,2050-01-17,4
24,2050-01-25,2
26,2050-01-27,3
31,2050-02-01,3
34,2050-02-04,7
40,2050-02-10,6
46,2050-02-16,16
52,2050-02-22,3
59,2050-03-01,3
75,2050-03-17,6
77,2050-03-19,4
99,2050-04-10,6
100,2050-04-11,3
105,2050-04-16,4
106,2050-04-17,2
109,2050-04-20,4
118,2050-04-29,1
120,2050-05-01,1
137,2050-05-18,10
140,2050-05-21,1
142,2050-05-23,6
144,2050-05-25,5
147,2050-05-28,3
151,2050-06-01,8
152,2050-06-02,4
154,2050-06-04,4
164,2050-06-14,6
171,2050-06-21,1
172,2050-06-22,1
175,2050-06-25,5
177,2050-06-27,3
180,2050-06-30,3
182,2050-07-02,4
184,2050-07-04,2
185,2050-07-05,1
194,2050-07-14,2
195,2050-07-15,2
198,2050-07-18,2
199,2050-07-19,2
202,2050-07-22,1
205,2050-07-25,4
207,2050-07-27,6
210,2050-07-30,5
212,2050-08-01,5
213,2050-08-02,8
216,2050-08-05,1
217,2050-08-06,2
221,2050-08-10,3
223,2050-08-12,5
228,2050-08-17,2
230,2050-08-19,1
242,2050-08-31,4
245,2050-09-03,6
247,2050-09-05,5
256,2050-09-14,2
259,2050-09-17,2
263,2050-09-21,4
266,2050-09-24,3
270,2050-09-28,8
271,2050-09-29,7
272,2050-09-30,7
279,2050-10-07,2
282,2050-10-10,4
284,2050-10-12,5
287,2050-10-15,3
288,2050-10-16,11
291,2050-10-19,10
293,2050-10-21,6
305,2050-11-02,5
318,2050-11-15,3
323,2050-11-20,4
324,2050-11-21,5
328,2050-11-25,4
338,2050-12-05,5
340,2050-12-07,10
342,2050-12-09,7
343,2050-12-10,3
350,2050-12-17,5
356,2050-12-23,5
362,2050-12-29,7
363,2050-12-30,2
