Day of Year,Date,Weight
11,2050-01-12,23
13,2050-01-14,8
40,2050-02-10,7
46,2050-02-16,21
51,2050-02-21,4
71,2050-03-13,15
101,2050-04-12,15
105,2050-04-16,10
109,2050-04-20,8
126,2050-05-07,9
137,2050-05-18,7
138,2050-05-19,8
171,2050-06-21,1
175,2050-06-25,9
176,2050-06-26,9
178,2050-06-28,6
186,2050-07-06,13
195,2050-07-15,9
199,2050-07-19,4
204,2050-07-24,12
207,2050-07-27,8
236,2050-08-25,7
242,2050-08-31,11
246,2050-09-04,8
260,2050-09-18,19
264,2050-09-22,10
272,2050-09-30,13
274,2050-10-02,13
287,2050-10-15,7
295,2050-10-23,6
311,2050-11-08,16
316,2050-11-13,6
319,2050-11-16,14
321,2050-11-18,12
322,2050-11-19,5
347,2050-12-14,6
359,2050-12-26,6
