Day of Year,Date,Weight
2,2050-01-03,3
3,2050-01-04,2
4,2050-01-05,1
7,2050-01-08,9
14,2050-01-15,2
16,2050-01-17,7
18,2050-01-19,1
29,2050-01-30,12
45,2050-02-15,7
57,2050-02-27,6
62,2050-03-04,7
63,2050-03-05,4
87,2050-03-29,6
95,2050-04-06,12
99,2050-04-10,9
109,2050-04-20,9
131,2050-05-12,2
132,2050-05-13,9
135,2050-05-16,15
136,2050-05-17,10
149,2050-05-30,1
150,2050-05-31,3
163,2050-06-13,7
167,2050-06-17,1
172,2050-06-22,1
173,2050-06-23,2
174,2050-06-24,2
176,2050-06-26,2
178,2050-06-28,4
182,2050-07-02,3
184,2050-07-04,4
186,2050-07-06,3
189,2050-07-09,1
194,2050-07-14,2
196,2050-07-16,2
197,2050-07-17,3
203,2050-07-23,2
204,2050-07-24,1
205,2050-07-25,3
209,2050-07-29,2
211,2050-07-31,2
216,2050-08-05,2
220,2050-08-09,4
222,2050-08-11,2
223,2050-08-12,4
227,2050-08-16,2
230,2050-08-19,1
232,2050-08-21,4
233,2050-08-22,1
234,2050-08-23,3
236,2050-08-25,6
238,2050-08-27,1
240,2050-08-29,3
244,2050-09-02,1
250,2050-09-08,5
252,2050-09-10,3
256,2050-09-14,3
259,2050-09-17,10
268,2050-09-26,21
272,2050-09-30,3
277,2050-10-05,5
279,2050-10-07,9
283,2050-10-11,3
298,2050-10-26,11
300,2050-10-28,10
310,2050-11-07,1
314,2050-11-11,4
320,2050-11-17,9
322,2050-11-19,7
333,2050-11-30,6
337,2050-12-04,6
345,2050-12-12,7
351,2050-12-18,3
354,2050-12-21,12
359,2050-12-26,1
364,2050-12-31,8
