Day of Year,Date,Weight
5,2050-01-06,8
28,2050-01-29,9
39,2050-02-09,18
50,2050-02-20,18
59,2050-03-01,10
73,2050-03-15,11
97,2050-04-08,5
104,2050-04-15,9
116,2050-04-27,7
128,2050-05-09,11
130,2050-05-11,8
131,2050-05-12,2
137,2050-05-18,10
141,2050-05-22,8
143,2050-05-24,8
151,2050-06-01,11
154,2050-06-04,7
167,2050-06-17,9
171,2050-06-21,2
172,2050-06-22,2
182,2050-07-02,4
185,2050-07-05,6
188,2050-07-08,4
190,2050-07-10,9
197,2050-07-17,2
205,2050-07-25,6
210,2050-07-30,2
219,2050-08-08,9
228,2050-08-17,6
235,2050-08-24,14
245,2050-09-03,5
255,2050-09-13,10
257,2050-09-15,8
280,2050-10-08,4
283,2050-10-11,6
285,2050-10-13,20
289,2050-10-17,8
300,2050-10-28,8
302,2050-10-30,4
321,2050-11-18,11
329,2050-11-26,10
330,2050-11-27,1
346,2050-12-13,12
352,2050-12-19,14
358,2050-12-25,9
