Day of Year,Date,Weight
5,2050-01-06,4
6,2050-01-07,1
9,2050-01-10,7
10,2050-01-11,1
15,2050-01-16,3
16,2050-01-17,8
28,2050-01-29,5
38,2050-02-08,7
45,2050-02-15,4
49,2050-02-19,2
50,2050-02-20,7
57,2050-02-27,3
58,2050-02-28,5
59,2050-03-01,7
68,2050-03-10,9
69,2050-03-11,3
70,2050-03-12,3
73,2050-03-15,8
77,2050-03-19,2
86,2050-03-28,2
100,2050-04-11,3
104,2050-04-15,6
116,2050-04-27,3
118,2050-04-29,4
119,2050-04-30,1
123,2050-05-04,5
124,2050-05-05,3
128,2050-05-09,7
131,2050-05-12,2
132,2050-05-13,3
135,2050-05-16,5
137,2050-05-18,6
143,2050-05-24,5
144,2050-05-25,2
146,2050-05-27,1
151,2050-06-01,5
154,2050-06-04,5
155,2050-06-05,5
156,2050-06-06,2
165,2050-06-15,3
167,2050-06-17,4
171,2050-06-21,1
172,2050-06-22,1
173,2050-06-23,1
175,2050-06-25,3
182,2050-07-02,3
185,2050-07-05,4
186,2050-07-06,4
188,2050-07-08,2
191,2050-07-11,2
193,2050-07-13,1
194,2050-07-14,2
195,2050-07-15,2
197,2050-07-17,1
198,2050-07-18,1
199,2050-07-19,1
205,2050-07-25,5
207,2050-07-27,4
218,2050-08-07,1
225,2050-08-14,1
229,2050-08-18,7
230,2050-08-19,1
231,2050-08-20,4
234,2050-08-23,6
235,2050-08-24,4
237,2050-08-26,4
239,2050-08-28,2
241,2050-08-30,3
243,2050-09-01,2
248,2050-09-06,4
254,2050-09-12,4
263,2050-09-21,5
270,2050-09-28,7
273,2050-10-01,4
276,2050-10-04,9
279,2050-10-07,8
283,2050-10-11,6
293,2050-10-21,3
297,2050-10-25,8
301,2050-10-29,3
302,2050-10-30,3
306,2050-11-03,2
312,2050-11-09,4
314,2050-11-11,5
321,2050-11-18,3
328,2050-11-25,5
337,2050-12-04,3
340,2050-12-07,5
345,2050-12-12,5
349,2050-12-16,8
354,2050-12-21,8
362,2050-12-29,4
364,2050-12-31,5
