Day of Year,Date,Weight
0,2050-01-01,5
5,2050-01-06,10
7,2050-01-08,2
9,2050-01-10,11
10,2050-01-11,6
13,2050-01-14,5
16,2050-01-17,3
20,2050-01-21,2
32,2050-02-02,3
34,2050-02-04,6
46,2050-02-16,12
48,2050-02-18,3
58,2050-02-28,4
68,2050-03-10,12
77,2050-03-19,4
89,2050-03-31,2
95,2050-04-06,1
100,2050-04-11,3
105,2050-04-16,4
109,2050-04-20,5
110,2050-04-21,2
123,2050-05-04,6
131,2050-05-12,5
135,2050-05-16,2
141,2050-05-22,10
146,2050-05-27,3
147,2050-05-28,3
152,2050-06-02,6
164,2050-06-14,6
168,2050-06-18,6
173,2050-06-23,1
174,2050-06-24,5
177,2050-06-27,4
179,2050-06-29,3
182,2050-07-02,6
187,2050-07-07,1
188,2050-07-08,2
194,2050-07-14,3
197,2050-07-17,3
199,2050-07-19,2
205,2050-07-25,4
206,2050-07-26,2
210,2050-07-30,6
213,2050-08-02,3
214,2050-08-03,2
217,2050-08-06,2
218,2050-08-07,1
233,2050-08-22,4
234,2050-08-23,8
235,2050-08-24,3
239,2050-08-28,6
245,2050-09-03,6
250,2050-09-08,2
252,2050-09-10,2
253,2050-09-11,6
254,2050-09-12,5
259,2050-09-17,3
266,2050-09-24,3
270,2050-09-28,9
272,2050-09-30,6
278,2050-10-06,3
281,2050-10-09,6
282,2050-10-10,5
286,2050-10-14,3
287,2050-10-15,3
288,2050-10-16,12
293,2050-10-21,8
305,2050-11-02,6
314,2050-11-11,5
322,2050-11-19,3
325,2050-11-22,12
334,2050-12-01,5
336,2050-12-03,4
338,2050-12-05,3
339,2050-12-06,7
352,2050-12-19,8
362,2050-12-29,7
