Day of Year,Date,Weight
16,2050-01-17,6
21,2050-01-22,5
35,2050-02-05,7
40,2050-02-10,12
48,2050-02-18,2
63,2050-03-05,5
71,2050-03-13,5
83,2050-03-25,5
86,2050-03-28,5
99,2050-04-10,8
101,2050-04-12,9
103,2050-04-14,6
109,2050-04-20,4
111,2050-04-22,4
116,2050-04-27,4
128,2050-05-09,9
129,2050-05-10,6
131,2050-05-12,3
137,2050-05-18,9
142,2050-05-23,6
161,2050-06-11,6
168,2050-06-18,3
171,2050-06-21,1
172,2050-06-22,1
175,2050-06-25,5
186,2050-07-06,10
189,2050-07-09,2
190,2050-07-10,3
196,2050-07-16,7
197,2050-07-17,2
201,2050-07-21,1
205,2050-07-25,6
207,2050-07-27,7
213,2050-08-02,9
225,2050-08-14,6
233,2050-08-22,2
239,2050-08-28,8
255,2050-09-13,10
258,2050-09-16,8
261,2050-09-19,6
268,2050-09-26,5
270,2050-09-28,10
272,2050-09-30,4
276,2050-10-04,8
287,2050-10-15,4
293,2050-10-21,9
295,2050-10-23,7
305,2050-11-02,6
313,2050-11-10,5
314,2050-11-11,5
321,2050-11-18,5
324,2050-11-21,5
325,2050-11-22,22
330,2050-11-27,5
331,2050-11-28,14
333,2050-11-30,3
334,2050-12-01,3
354,2050-12-21,12
358,2050-12-25,5
359,2050-12-26,5
