Day of Year,Date,Weight
3,2050-01-04,4
7,2050-01-08,3
9,2050-01-10,8
13,2050-01-14,6
17,2050-01-18,5
20,2050-01-21,2
39,2050-02-09,10
47,2050-02-17,2
57,2050-02-27,3
60,2050-03-02,7
63,2050-03-05,5
71,2050-03-13,7
73,2050-03-15,10
83,2050-03-25,3
84,2050-03-26,4
85,2050-03-27,2
91,2050-04-02,4
93,2050-04-04,5
109,2050-04-20,4
115,2050-04-26,6
116,2050-04-27,7
128,2050-05-09,8
142,2050-05-23,7
147,2050-05-28,2
153,2050-06-03,3
154,2050-06-04,2
155,2050-06-05,3
156,2050-06-06,3
161,2050-06-11,5
168,2050-06-18,3
172,2050-06-22,2
175,2050-06-25,3
176,2050-06-26,4
181,2050-07-01,1
186,2050-07-06,7
188,2050-07-08,1
189,2050-07-09,2
191,2050-07-11,2
196,2050-07-16,5
197,2050-07-17,2
201,2050-07-21,1
202,2050-07-22,2
205,2050-07-25,6
207,2050-07-27,6
210,2050-07-30,4
216,2050-08-05,1
217,2050-08-06,1
225,2050-08-14,6
234,2050-08-23,8
235,2050-08-24,6
237,2050-08-26,3
239,2050-08-28,8
252,2050-09-10,2
259,2050-09-17,3
261,2050-09-19,8
262,2050-09-20,7
263,2050-09-21,9
264,2050-09-22,4
266,2050-09-24,7
270,2050-09-28,9
273,2050-10-01,2
278,2050-10-06,3
280,2050-10-08,4
282,2050-10-10,5
284,2050-10-12,2
287,2050-10-15,4
294,2050-10-22,3
296,2050-10-24,5
299,2050-10-27,4
306,2050-11-03,2
309,2050-11-06,3
312,2050-11-09,4
328,2050-11-25,1
330,2050-11-27,6
331,2050-11-28,9
338,2050-12-05,6
341,2050-12-08,3
349,2050-12-16,7
354,2050-12-21,14
356,2050-12-23,3
359,2050-12-26,2
