Day of Year,Date,Weight
2,2050-01-03,2
3,2050-01-04,1
11,2050-01-12,5
13,2050-01-14,7
14,2050-01-15,2
15,2050-01-16,1
16,2050-01-17,3
18,2050-01-19,2
25,2050-01-26,12
27,2050-01-28,7
36,2050-02-06,5
41,2050-02-11,3
42,2050-02-12,1
46,2050-02-16,12
50,2050-02-20,4
52,2050-02-22,3
56,2050-02-26,3
66,2050-03-08,2
73,2050-03-15,7
79,2050-03-21,6
87,2050-03-29,5
89,2050-03-31,3
91,2050-04-02,5
97,2050-04-08,3
98,2050-04-09,4
102,2050-04-13,5
105,2050-04-16,3
109,2050-04-20,9
117,2050-04-28,3
124,2050-05-05,5
132,2050-05-13,3
134,2050-05-15,12
146,2050-05-27,3
147,2050-05-28,2
149,2050-05-30,1
154,2050-06-04,8
167,2050-06-17,3
169,2050-06-19,3
171,2050-06-21,1
172,2050-06-22,2
173,2050-06-23,1
175,2050-06-25,3
177,2050-06-27,11
180,2050-06-30,1
182,2050-07-02,2
183,2050-07-03,4
189,2050-07-09,2
193,2050-07-13,4
196,2050-07-16,2
197,2050-07-17,2
199,2050-07-19,1
203,2050-07-23,1
205,2050-07-25,2
208,2050-07-28,1
217,2050-08-06,2
218,2050-08-07,1
219,2050-08-08,4
220,2050-08-09,2
221,2050-08-10,1
223,2050-08-12,6
227,2050-08-16,1
230,2050-08-19,1
231,2050-08-20,3
234,2050-08-23,6
237,2050-08-26,4
238,2050-08-27,1
239,2050-08-28,3
240,2050-08-29,3
242,2050-08-31,5
243,2050-09-01,3
248,2050-09-06,1
251,2050-09-09,1
254,2050-09-12,9
257,2050-09-15,7
258,2050-09-16,1
259,2050-09-17,3
263,2050-09-21,9
265,2050-09-23,6
276,2050-10-04,7
291,2050-10-19,11
292,2050-10-20,3
302,2050-10-30,1
303,2050-10-31,1
308,2050-11-05,3
314,2050-11-11,4
323,2050-11-20,4
325,2050-11-22,8
326,2050-11-23,2
329,2050-11-26,3
332,2050-11-29,3
336,2050-12-03,4
340,2050-12-07,7
349,2050-12-16,2
352,2050-12-19,9
359,2050-12-26,2
