Day of Year,Date,Weight
0,2050-01-01,1
3,2050-01-04,2
4,2050-01-05,4
13,2050-01-14,8
20,2050-01-21,2
22,2050-01-23,8
25,2050-01-26,9
27,2050-01-28,5
28,2050-01-29,4
31,2050-02-01,15
36,2050-02-06,10
55,2050-02-25,6
62,2050-03-04,3
67,2050-03-09,5
84,2050-03-26,9
95,2050-04-06,6
97,2050-04-08,5
102,2050-04-13,6
104,2050-04-15,1
105,2050-04-16,3
109,2050-04-20,9
117,2050-04-28,3
124,2050-05-05,6
125,2050-05-06,7
134,2050-05-15,15
149,2050-05-30,1
150,2050-05-31,4
165,2050-06-15,12
167,2050-06-17,4
171,2050-06-21,1
172,2050-06-22,2
173,2050-06-23,1
175,2050-06-25,4
180,2050-06-30,1
182,2050-07-02,3
186,2050-07-06,1
195,2050-07-15,2
199,2050-07-19,1
205,2050-07-25,3
215,2050-08-04,2
217,2050-08-06,2
219,2050-08-08,7
221,2050-08-10,1
222,2050-08-11,1
223,2050-08-12,7
225,2050-08-14,5
227,2050-08-16,1
229,2050-08-18,6
230,2050-08-19,1
234,2050-08-23,6
237,2050-08-26,6
242,2050-08-31,5
243,2050-09-01,3
245,2050-09-03,7
248,2050-09-06,2
254,2050-09-12,8
256,2050-09-14,3
259,2050-09-17,7
263,2050-09-21,13
270,2050-09-28,14
291,2050-10-19,10
293,2050-10-21,7
295,2050-10-23,4
302,2050-10-30,1
309,2050-11-06,2
314,2050-11-11,6
322,2050-11-19,2
323,2050-11-20,6
339,2050-12-06,2
340,2050-12-07,9
352,2050-12-19,7
354,2050-12-21,6
356,2050-12-23,4
