Day of Year,Date,Weight
0,2050-01-01,5
13,2050-01-14,6
31,2050-02-01,5
40,2050-02-10,12
46,2050-02-16,23
58,2050-02-28,5
72,2050-03-14,15
84,2050-03-26,6
87,2050-03-29,3
90,2050-04-01,5
97,2050-04-08,6
101,2050-04-12,14
121,2050-05-02,6
123,2050-05-04,5
128,2050-05-09,14
136,2050-05-17,14
142,2050-05-23,9
147,2050-05-28,6
148,2050-05-29,1
153,2050-06-03,1
158,2050-06-08,14
166,2050-06-16,5
183,2050-07-03,1
194,2050-07-14,7
196,2050-07-16,7
197,2050-07-17,2
200,2050-07-20,4
205,2050-07-25,7
207,2050-07-27,7
213,2050-08-02,10
214,2050-08-03,3
223,2050-08-12,4
234,2050-08-23,8
242,2050-08-31,4
245,2050-09-03,6
257,2050-09-15,10
262,2050-09-20,15
266,2050-09-24,9
267,2050-09-25,10
275,2050-10-03,5
280,2050-10-08,5
284,2050-10-12,3
331,2050-11-28,14
333,2050-11-30,3
343,2050-12-10,4
351,2050-12-18,3
357,2050-12-24,4
358,2050-12-25,9
361,2050-12-28,10
362,2050-12-29,11
