Day of Year,Date,Weight
13,2050-01-14,5
17,2050-01-18,5
38,2050-02-08,7
41,2050-02-11,4
43,2050-02-13,4
45,2050-02-15,8
60,2050-03-02,4
63,2050-03-05,5
71,2050-03-13,12
93,2050-04-04,5
98,2050-04-09,2
100,2050-04-11,4
104,2050-04-15,5
109,2050-04-20,5
118,2050-04-29,1
123,2050-05-04,3
125,2050-05-06,1
126,2050-05-07,2
128,2050-05-09,11
131,2050-05-12,2
133,2050-05-14,1
134,2050-05-15,1
136,2050-05-17,6
137,2050-05-18,8
142,2050-05-23,6
147,2050-05-28,2
151,2050-06-01,5
156,2050-06-06,2
166,2050-06-16,7
171,2050-06-21,1
172,2050-06-22,1
179,2050-06-29,3
182,2050-07-02,5
186,2050-07-06,6
188,2050-07-08,2
190,2050-07-10,3
197,2050-07-17,2
199,2050-07-19,1
205,2050-07-25,5
207,2050-07-27,5
210,2050-07-30,4
214,2050-08-03,2
215,2050-08-04,1
217,2050-08-06,2
225,2050-08-14,5
235,2050-08-24,7
239,2050-08-28,6
254,2050-09-12,5
257,2050-09-15,7
259,2050-09-17,4
262,2050-09-20,8
263,2050-09-21,6
264,2050-09-22,9
266,2050-09-24,7
270,2050-09-28,9
272,2050-09-30,3
279,2050-10-07,2
283,2050-10-11,3
287,2050-10-15,5
290,2050-10-18,3
295,2050-10-23,10
300,2050-10-28,6
304,2050-11-01,2
305,2050-11-02,5
311,2050-11-08,9
314,2050-11-11,5
327,2050-11-24,2
331,2050-11-28,11
332,2050-11-29,9
333,2050-11-30,3
338,2050-12-05,10
349,2050-12-16,7
354,2050-12-21,10
356,2050-12-23,5
359,2050-12-26,6
