Day of Year,Date,Weight
1,2050-01-02,2
9,2050-01-10,15
23,2050-01-24,6
29,2050-01-30,4
36,2050-02-06,15
51,2050-02-21,2
57,2050-02-27,4
63,2050-03-05,5
70,2050-03-12,4
79,2050-03-21,9
80,2050-03-22,2
87,2050-03-29,5
90,2050-04-01,3
99,2050-04-10,10
102,2050-04-13,2
103,2050-04-14,5
110,2050-04-21,3
121,2050-05-02,6
126,2050-05-07,2
128,2050-05-09,12
129,2050-05-10,4
143,2050-05-24,7
147,2050-05-28,4
150,2050-05-31,3
159,2050-06-09,5
161,2050-06-11,4
162,2050-06-12,6
172,2050-06-22,1
180,2050-06-30,9
185,2050-07-05,6
187,2050-07-07,3
190,2050-07-10,3
191,2050-07-11,3
196,2050-07-16,5
198,2050-07-18,2
205,2050-07-25,5
207,2050-07-27,6
211,2050-07-31,2
218,2050-08-07,2
225,2050-08-14,4
227,2050-08-16,2
237,2050-08-26,4
239,2050-08-28,7
240,2050-08-29,2
255,2050-09-13,5
262,2050-09-20,8
266,2050-09-24,5
269,2050-09-27,10
270,2050-09-28,8
275,2050-10-03,4
277,2050-10-05,10
281,2050-10-09,7
286,2050-10-14,6
287,2050-10-15,5
300,2050-10-28,7
305,2050-11-02,5
308,2050-11-05,6
312,2050-11-09,5
314,2050-11-11,5
321,2050-11-18,5
324,2050-11-21,5
336,2050-12-03,6
338,2050-12-05,8
339,2050-12-06,8
341,2050-12-08,8
344,2050-12-11,5
362,2050-12-29,9
