Day of Year,Date,Weight
2,2050-01-03,4
9,2050-01-10,9
11,2050-01-12,6
14,2050-01-15,2
15,2050-01-16,2
21,2050-01-22,2
29,2050-01-30,14
34,2050-02-04,9
39,2050-02-09,11
55,2050-02-25,14
57,2050-02-27,8
87,2050-03-29,11
102,2050-04-13,7
105,2050-04-16,5
109,2050-04-20,11
113,2050-04-24,11
125,2050-05-06,5
136,2050-05-17,14
165,2050-06-15,11
175,2050-06-25,3
181,2050-07-01,4
184,2050-07-04,6
185,2050-07-05,4
186,2050-07-06,3
194,2050-07-14,4
196,2050-07-16,2
197,2050-07-17,3
204,2050-07-24,1
212,2050-08-01,2
215,2050-08-04,4
216,2050-08-05,2
220,2050-08-09,6
223,2050-08-12,4
227,2050-08-16,2
233,2050-08-22,1
236,2050-08-25,6
237,2050-08-26,2
240,2050-08-29,3
241,2050-08-30,3
244,2050-09-02,2
245,2050-09-03,3
247,2050-09-05,6
249,2050-09-07,4
252,2050-09-10,3
256,2050-09-14,4
259,2050-09-17,13
264,2050-09-22,19
266,2050-09-24,9
279,2050-10-07,12
281,2050-10-09,10
282,2050-10-10,19
293,2050-10-21,3
320,2050-11-17,9
335,2050-12-02,8
337,2050-12-04,7
354,2050-12-21,13
