Day of Year,Date,Weight
2,2050-01-03,10
21,2050-01-22,6
39,2050-02-09,17
40,2050-02-10,10
58,2050-02-28,6
63,2050-03-05,7
68,2050-03-10,11
72,2050-03-14,11
73,2050-03-15,10
81,2050-03-23,1
99,2050-04-10,10
110,2050-04-21,3
111,2050-04-22,5
122,2050-05-03,3
128,2050-05-09,11
136,2050-05-17,9
137,2050-05-18,9
138,2050-05-19,8
143,2050-05-24,6
147,2050-05-28,4
171,2050-06-21,2
177,2050-06-27,3
179,2050-06-29,2
183,2050-07-03,1
184,2050-07-04,5
185,2050-07-05,3
193,2050-07-13,3
198,2050-07-18,2
200,2050-07-20,5
205,2050-07-25,6
213,2050-08-02,10
218,2050-08-07,3
220,2050-08-09,2
233,2050-08-22,5
234,2050-08-23,6
237,2050-08-26,5
238,2050-08-27,6
240,2050-08-29,10
245,2050-09-03,4
259,2050-09-17,4
263,2050-09-21,8
270,2050-09-28,10
273,2050-10-01,3
277,2050-10-05,8
284,2050-10-12,5
286,2050-10-14,9
287,2050-10-15,4
288,2050-10-16,14
314,2050-11-11,5
323,2050-11-20,8
326,2050-11-23,2
330,2050-11-27,6
331,2050-11-28,12
336,2050-12-03,7
338,2050-12-05,12
359,2050-12-26,5
364,2050-12-31,3
