Day of Year,Date,Weight
13,2050-01-14,7
16,2050-01-17,7
27,2050-01-28,5
31,2050-02-01,4
39,2050-02-09,18
40,2050-02-10,11
57,2050-02-27,5
70,2050-03-12,5
97,2050-04-08,7
99,2050-04-10,10
101,2050-04-12,19
109,2050-04-20,4
116,2050-04-27,7
136,2050-05-17,12
139,2050-05-20,4
142,2050-05-23,12
150,2050-05-31,4
153,2050-06-03,4
155,2050-06-05,5
165,2050-06-15,10
168,2050-06-18,3
180,2050-06-30,7
181,2050-07-01,2
188,2050-07-08,1
196,2050-07-16,5
198,2050-07-18,2
199,2050-07-19,2
205,2050-07-25,8
207,2050-07-27,8
211,2050-07-31,7
216,2050-08-05,1
225,2050-08-14,5
234,2050-08-23,7
235,2050-08-24,7
238,2050-08-27,7
245,2050-09-03,4
262,2050-09-20,9
270,2050-09-28,11
272,2050-09-30,4
278,2050-10-06,6
281,2050-10-09,7
285,2050-10-13,11
287,2050-10-15,4
293,2050-10-21,10
307,2050-11-04,2
325,2050-11-22,15
326,2050-11-23,3
336,2050-12-03,7
339,2050-12-06,14
348,2050-12-15,9
361,2050-12-28,10
362,2050-12-29,7
