Day of Year,Date,Weight
9,2050-01-10,17
15,2050-01-16,4
36,2050-02-06,18
48,2050-02-18,7
49,2050-02-19,6
58,2050-02-28,7
59,2050-03-01,11
71,2050-03-13,14
83,2050-03-25,6
100,2050-04-11,8
101,2050-04-12,15
127,2050-05-08,9
130,2050-05-11,9
132,2050-05-13,7
133,2050-05-14,8
137,2050-05-18,12
144,2050-05-25,16
145,2050-05-26,20
161,2050-06-11,12
171,2050-06-21,3
185,2050-07-05,9
188,2050-07-08,7
190,2050-07-10,9
199,2050-07-19,2
209,2050-07-29,7
221,2050-08-10,7
228,2050-08-17,9
229,2050-08-18,20
264,2050-09-22,8
265,2050-09-23,8
268,2050-09-26,18
314,2050-11-11,10
328,2050-11-25,6
345,2050-12-12,12
349,2050-12-16,15
362,2050-12-29,9
