Day of Year,Date,Weight
15,2050-01-16,2
18,2050-01-19,2
29,2050-01-30,13
32,2050-02-02,13
54,2050-02-24,6
55,2050-02-25,19
95,2050-04-06,15
114,2050-04-25,15
132,2050-05-13,10
136,2050-05-17,15
145,2050-05-26,9
150,2050-05-31,6
165,2050-06-15,11
172,2050-06-22,2
181,2050-07-01,7
184,2050-07-04,6
185,2050-07-05,7
199,2050-07-19,3
204,2050-07-24,1
209,2050-07-29,6
211,2050-07-31,2
216,2050-08-05,2
220,2050-08-09,8
221,2050-08-10,6
228,2050-08-17,6
232,2050-08-21,6
234,2050-08-23,4
236,2050-08-25,6
238,2050-08-27,2
259,2050-09-17,14
268,2050-09-26,23
279,2050-10-07,11
282,2050-10-10,22
300,2050-10-28,10
314,2050-11-11,4
320,2050-11-17,12
336,2050-12-03,11
337,2050-12-04,8
354,2050-12-21,19
360,2050-12-27,12
364,2050-12-31,9
