Day of Year,Date,Weight
0,2050-01-01,5
6,2050-01-07,1
7,2050-01-08,2
13,2050-01-14,5
20,2050-01-21,1
23,2050-01-24,10
26,2050-01-27,5
29,2050-01-30,4
37,2050-02-07,4
53,2050-02-23,8
63,2050-03-05,5
72,2050-03-14,7
78,2050-03-20,3
86,2050-03-28,2
95,2050-04-06,1
99,2050-04-10,8
101,2050-04-12,6
104,2050-04-15,4
108,2050-04-19,2
115,2050-04-26,4
116,2050-04-27,6
118,2050-04-29,1
122,2050-05-03,3
123,2050-05-04,4
125,2050-05-06,1
126,2050-05-07,4
128,2050-05-09,10
133,2050-05-14,1
136,2050-05-17,8
138,2050-05-19,6
143,2050-05-24,4
147,2050-05-28,3
161,2050-06-11,4
172,2050-06-22,1
173,2050-06-23,1
175,2050-06-25,4
178,2050-06-28,3
184,2050-07-04,4
186,2050-07-06,4
193,2050-07-13,3
194,2050-07-14,4
196,2050-07-16,6
198,2050-07-18,2
200,2050-07-20,4
205,2050-07-25,4
206,2050-07-26,6
207,2050-07-27,7
213,2050-08-02,4
216,2050-08-05,1
218,2050-08-07,1
222,2050-08-11,1
229,2050-08-18,2
234,2050-08-23,5
235,2050-08-24,4
237,2050-08-26,5
259,2050-09-17,3
262,2050-09-20,9
264,2050-09-22,4
269,2050-09-27,7
270,2050-09-28,9
273,2050-10-01,3
275,2050-10-03,4
284,2050-10-12,2
286,2050-10-14,7
287,2050-10-15,4
295,2050-10-23,6
300,2050-10-28,7
305,2050-11-02,4
306,2050-11-03,2
314,2050-11-11,5
319,2050-11-16,5
325,2050-11-22,15
331,2050-11-28,11
332,2050-11-29,6
339,2050-12-06,9
346,2050-12-13,4
349,2050-12-16,9
358,2050-12-25,6
362,2050-12-29,6
