Day of Year,Date,Weight
2,2050-01-03,3
3,2050-01-04,2
4,2050-01-05,1
7,2050-01-08,3
9,2050-01-10,5
14,2050-01-15,1
16,2050-01-17,4
18,2050-01-19,1
20,2050-01-21,1
28,2050-01-29,5
29,2050-01-30,11
31,2050-02-01,4
42,2050-02-12,2
55,2050-02-25,8
59,2050-03-01,4
64,2050-03-06,13
85,2050-03-27,9
90,2050-04-01,4
95,2050-04-06,12
99,2050-04-10,10
104,2050-04-15,4
109,2050-04-20,9
111,2050-04-22,5
125,2050-05-06,4
136,2050-05-17,10
145,2050-05-26,9
148,2050-05-29,1
149,2050-05-30,1
150,2050-05-31,2
153,2050-06-03,6
158,2050-06-08,11
165,2050-06-15,11
170,2050-06-20,1
171,2050-06-21,1
172,2050-06-22,1
173,2050-06-23,1
174,2050-06-24,2
175,2050-06-25,3
179,2050-06-29,1
181,2050-07-01,4
183,2050-07-03,1
184,2050-07-04,4
186,2050-07-06,2
188,2050-07-08,2
193,2050-07-13,2
194,2050-07-14,3
196,2050-07-16,2
197,2050-07-17,3
200,2050-07-20,2
202,2050-07-22,1
204,2050-07-24,1
208,2050-07-28,1
211,2050-07-31,2
213,2050-08-02,1
215,2050-08-04,2
216,2050-08-05,2
218,2050-08-07,2
225,2050-08-14,2
227,2050-08-16,3
229,2050-08-18,2
231,2050-08-20,2
232,2050-08-21,4
233,2050-08-22,1
236,2050-08-25,4
237,2050-08-26,2
241,2050-08-30,3
244,2050-09-02,1
249,2050-09-07,2
250,2050-09-08,5
252,2050-09-10,2
257,2050-09-15,2
259,2050-09-17,10
266,2050-09-24,5
268,2050-09-26,16
282,2050-10-10,11
283,2050-10-11,5
293,2050-10-21,4
302,2050-10-30,1
314,2050-11-11,4
320,2050-11-17,10
321,2050-11-18,3
328,2050-11-25,3
337,2050-12-04,7
347,2050-12-14,6
354,2050-12-21,10
356,2050-12-23,4
360,2050-12-27,3
364,2050-12-31,5
