Day of Year,Date,Weight
13,2050-01-14,7
17,2050-01-18,5
29,2050-01-30,4
34,2050-02-04,7
36,2050-02-06,17
48,2050-02-18,2
68,2050-03-10,13
72,2050-03-14,10
85,2050-03-27,6
109,2050-04-20,5
111,2050-04-22,5
116,2050-04-27,7
117,2050-04-28,5
118,2050-04-29,2
120,2050-05-01,1
128,2050-05-09,8
136,2050-05-17,7
137,2050-05-18,10
141,2050-05-22,6
142,2050-05-23,10
147,2050-05-28,5
154,2050-06-04,1
166,2050-06-16,5
170,2050-06-20,1
171,2050-06-21,2
173,2050-06-23,1
174,2050-06-24,3
175,2050-06-25,3
180,2050-06-30,7
194,2050-07-14,2
196,2050-07-16,5
197,2050-07-17,2
199,2050-07-19,2
205,2050-07-25,5
206,2050-07-26,8
207,2050-07-27,8
211,2050-07-31,2
213,2050-08-02,8
225,2050-08-14,3
236,2050-08-25,4
237,2050-08-26,5
245,2050-09-03,5
254,2050-09-12,11
259,2050-09-17,3
269,2050-09-27,12
270,2050-09-28,12
272,2050-09-30,4
277,2050-10-05,8
279,2050-10-07,2
286,2050-10-14,4
293,2050-10-21,9
294,2050-10-22,2
305,2050-11-02,5
308,2050-11-05,4
311,2050-11-08,7
314,2050-11-11,5
330,2050-11-27,5
331,2050-11-28,12
332,2050-11-29,10
338,2050-12-05,10
354,2050-12-21,8
356,2050-12-23,4
359,2050-12-26,4
