Day of Year,Date,Weight
0,2050-01-01,1
2,2050-01-03,1
3,2050-01-04,1
4,2050-01-05,2
13,2050-01-14,5
15,2050-01-16,2
16,2050-01-17,6
20,2050-01-21,2
24,2050-01-25,5
26,2050-01-27,2
33,2050-02-03,7
35,2050-02-05,4
40,2050-02-10,6
46,2050-02-16,11
47,2050-02-17,4
48,2050-02-18,9
50,2050-02-20,7
83,2050-03-25,1
84,2050-03-26,4
86,2050-03-28,1
87,2050-03-29,4
93,2050-04-04,4
97,2050-04-08,7
98,2050-04-09,3
101,2050-04-12,11
105,2050-04-16,2
108,2050-04-19,6
114,2050-04-25,8
117,2050-04-28,4
118,2050-04-29,4
129,2050-05-10,8
133,2050-05-14,2
141,2050-05-22,7
145,2050-05-26,6
146,2050-05-27,3
147,2050-05-28,2
148,2050-05-29,1
149,2050-05-30,1
151,2050-06-01,4
158,2050-06-08,5
161,2050-06-11,3
163,2050-06-13,8
171,2050-06-21,1
172,2050-06-22,1
173,2050-06-23,1
174,2050-06-24,2
175,2050-06-25,1
180,2050-06-30,1
187,2050-07-07,3
189,2050-07-09,2
193,2050-07-13,2
196,2050-07-16,2
198,2050-07-18,1
199,2050-07-19,1
205,2050-07-25,3
206,2050-07-26,4
208,2050-07-28,4
209,2050-07-29,3
211,2050-07-31,1
214,2050-08-03,2
215,2050-08-04,2
216,2050-08-05,1
217,2050-08-06,1
219,2050-08-08,6
222,2050-08-11,1
223,2050-08-12,5
228,2050-08-17,4
230,2050-08-19,1
231,2050-08-20,2
234,2050-08-23,3
238,2050-08-27,2
239,2050-08-28,1
240,2050-08-29,3
241,2050-08-30,2
242,2050-08-31,3
243,2050-09-01,3
259,2050-09-17,7
261,2050-09-19,2
264,2050-09-22,10
276,2050-10-04,10
285,2050-10-13,7
287,2050-10-15,6
298,2050-10-26,10
302,2050-10-30,1
304,2050-11-01,1
307,2050-11-04,7
311,2050-11-08,3
313,2050-11-10,3
317,2050-11-14,2
322,2050-11-19,4
333,2050-11-30,8
336,2050-12-03,6
341,2050-12-08,4
347,2050-12-14,2
354,2050-12-21,7
358,2050-12-25,1
363,2050-12-30,5
