Day of Year,Date,Weight
4,2050-01-05,3
9,2050-01-10,15
15,2050-01-16,2
18,2050-01-19,1
20,2050-01-21,2
23,2050-01-24,1
33,2050-02-03,6
40,2050-02-10,4
41,2050-02-11,4
44,2050-02-14,3
45,2050-02-15,9
48,2050-02-18,7
52,2050-02-22,6
56,2050-02-26,4
57,2050-02-27,8
76,2050-03-18,2
79,2050-03-21,12
83,2050-03-25,3
95,2050-04-06,6
98,2050-04-09,5
102,2050-04-13,7
109,2050-04-20,9
117,2050-04-28,3
122,2050-05-03,3
126,2050-05-07,2
135,2050-05-16,15
146,2050-05-27,3
147,2050-05-28,2
149,2050-05-30,1
151,2050-06-01,5
154,2050-06-04,7
165,2050-06-15,11
167,2050-06-17,3
171,2050-06-21,1
173,2050-06-23,1
175,2050-06-25,4
181,2050-07-01,4
184,2050-07-04,5
186,2050-07-06,2
193,2050-07-13,3
194,2050-07-14,1
195,2050-07-15,2
198,2050-07-18,2
199,2050-07-19,1
200,2050-07-20,2
202,2050-07-22,1
205,2050-07-25,3
207,2050-07-27,1
208,2050-07-28,2
215,2050-08-04,2
217,2050-08-06,2
219,2050-08-08,7
221,2050-08-10,1
222,2050-08-11,2
224,2050-08-13,2
226,2050-08-15,7
230,2050-08-19,1
234,2050-08-23,5
237,2050-08-26,5
241,2050-08-30,3
242,2050-08-31,4
252,2050-09-10,3
266,2050-09-24,4
268,2050-09-26,10
269,2050-09-27,10
273,2050-10-01,2
280,2050-10-08,3
291,2050-10-19,11
292,2050-10-20,11
293,2050-10-21,4
300,2050-10-28,6
302,2050-10-30,1
308,2050-11-05,3
312,2050-11-09,5
314,2050-11-11,4
323,2050-11-20,4
336,2050-12-03,6
337,2050-12-04,3
349,2050-12-16,3
353,2050-12-20,8
357,2050-12-24,6
360,2050-12-27,5
364,2050-12-31,3
