Day of Year,Date,Weight
0,2050-01-01,4
2,2050-01-03,10
36,2050-02-06,13
40,2050-02-10,6
48,2050-02-18,2
53,2050-02-23,8
57,2050-02-27,3
63,2050-03-05,5
73,2050-03-15,9
99,2050-04-10,7
105,2050-04-16,2
110,2050-04-21,3
126,2050-05-07,3
128,2050-05-09,10
131,2050-05-12,4
133,2050-05-14,2
136,2050-05-17,6
137,2050-05-18,7
143,2050-05-24,8
147,2050-05-28,4
150,2050-05-31,2
159,2050-06-09,3
161,2050-06-11,3
172,2050-06-22,1
175,2050-06-25,3
178,2050-06-28,2
180,2050-06-30,7
184,2050-07-04,3
191,2050-07-11,2
194,2050-07-14,2
196,2050-07-16,9
197,2050-07-17,3
205,2050-07-25,7
213,2050-08-02,7
214,2050-08-03,3
216,2050-08-05,1
223,2050-08-12,3
228,2050-08-17,2
230,2050-08-19,2
234,2050-08-23,6
237,2050-08-26,4
238,2050-08-27,4
250,2050-09-08,4
259,2050-09-17,3
262,2050-09-20,5
263,2050-09-21,11
270,2050-09-28,10
272,2050-09-30,3
280,2050-10-08,3
282,2050-10-10,6
285,2050-10-13,8
286,2050-10-14,5
287,2050-10-15,4
288,2050-10-16,11
293,2050-10-21,10
295,2050-10-23,6
296,2050-10-24,3
305,2050-11-02,5
311,2050-11-08,8
314,2050-11-11,6
331,2050-11-28,12
336,2050-12-03,3
338,2050-12-05,8
340,2050-12-07,3
341,2050-12-08,4
349,2050-12-16,8
350,2050-12-17,3
354,2050-12-21,8
359,2050-12-26,2
362,2050-12-29,7
363,2050-12-30,1
