Day of Year,Date,Weight
0,2050-01-01,5
13,2050-01-14,7
16,2050-01-17,5
23,2050-01-24,6
34,2050-02-04,7
41,2050-02-11,5
54,2050-02-24,7
72,2050-03-14,13
79,2050-03-21,5
85,2050-03-27,2
90,2050-04-01,4
97,2050-04-08,4
99,2050-04-10,8
110,2050-04-21,3
113,2050-04-24,1
122,2050-05-03,3
128,2050-05-09,11
132,2050-05-13,3
143,2050-05-24,8
147,2050-05-28,5
158,2050-06-08,10
162,2050-06-12,5
163,2050-06-13,2
172,2050-06-22,1
173,2050-06-23,1
177,2050-06-27,5
185,2050-07-05,6
186,2050-07-06,12
190,2050-07-10,3
194,2050-07-14,6
198,2050-07-18,2
204,2050-07-24,8
207,2050-07-27,8
211,2050-07-31,8
218,2050-08-07,1
222,2050-08-11,5
230,2050-08-19,4
245,2050-09-03,6
247,2050-09-05,4
259,2050-09-17,4
261,2050-09-19,9
263,2050-09-21,11
266,2050-09-24,6
267,2050-09-25,4
270,2050-09-28,7
272,2050-09-30,2
277,2050-10-05,11
286,2050-10-14,6
292,2050-10-20,4
294,2050-10-22,3
300,2050-10-28,5
306,2050-11-03,4
312,2050-11-09,5
314,2050-11-11,5
321,2050-11-18,4
323,2050-11-20,2
325,2050-11-22,18
330,2050-11-27,5
331,2050-11-28,11
338,2050-12-05,8
346,2050-12-13,5
354,2050-12-21,12
356,2050-12-23,5
