Day of Year,Date,Weight
2,2050-01-03,10
14,2050-01-15,2
16,2050-01-17,5
23,2050-01-24,8
25,2050-01-26,3
32,2050-02-02,5
46,2050-02-16,15
69,2050-03-11,4
90,2050-04-01,3
96,2050-04-07,4
97,2050-04-08,7
99,2050-04-10,7
100,2050-04-11,3
109,2050-04-20,3
110,2050-04-21,3
119,2050-04-30,2
128,2050-05-09,10
131,2050-05-12,2
133,2050-05-14,1
138,2050-05-19,6
143,2050-05-24,6
144,2050-05-25,2
154,2050-06-04,3
161,2050-06-11,4
162,2050-06-12,4
163,2050-06-13,2
168,2050-06-18,2
170,2050-06-20,2
172,2050-06-22,1
173,2050-06-23,2
178,2050-06-28,3
179,2050-06-29,2
180,2050-06-30,7
185,2050-07-05,3
188,2050-07-08,2
196,2050-07-16,5
198,2050-07-18,2
199,2050-07-19,1
213,2050-08-02,5
220,2050-08-09,1
222,2050-08-11,4
225,2050-08-14,4
226,2050-08-15,1
228,2050-08-17,2
233,2050-08-22,3
239,2050-08-28,6
240,2050-08-29,2
247,2050-09-05,7
250,2050-09-08,4
257,2050-09-15,8
259,2050-09-17,5
262,2050-09-20,5
263,2050-09-21,7
264,2050-09-22,6
270,2050-09-28,7
273,2050-10-01,3
278,2050-10-06,4
279,2050-10-07,2
281,2050-10-09,5
285,2050-10-13,9
286,2050-10-14,5
287,2050-10-15,3
288,2050-10-16,10
293,2050-10-21,8
294,2050-10-22,2
298,2050-10-26,11
306,2050-11-03,2
308,2050-11-05,6
314,2050-11-11,5
320,2050-11-17,6
330,2050-11-27,6
331,2050-11-28,11
338,2050-12-05,8
341,2050-12-08,5
345,2050-12-12,3
349,2050-12-16,7
351,2050-12-18,1
354,2050-12-21,5
356,2050-12-23,4
363,2050-12-30,1
