Day of Year,Date,Weight
9,2050-01-10,24
13,2050-01-14,4
46,2050-02-16,14
60,2050-03-02,10
91,2050-04-02,9
101,2050-04-12,11
109,2050-04-20,15
111,2050-04-22,8
115,2050-04-26,7
116,2050-04-27,6
123,2050-05-04,12
133,2050-05-14,8
143,2050-05-24,12
150,2050-05-31,8
167,2050-06-17,7
171,2050-06-21,2
185,2050-07-05,6
186,2050-07-06,9
190,2050-07-10,8
198,2050-07-18,2
199,2050-07-19,2
204,2050-07-24,3
205,2050-07-25,6
219,2050-08-08,10
223,2050-08-12,5
235,2050-08-24,10
238,2050-08-27,6
262,2050-09-20,13
273,2050-10-01,6
282,2050-10-10,12
285,2050-10-13,14
289,2050-10-17,15
293,2050-10-21,8
308,2050-11-05,6
325,2050-11-22,10
343,2050-12-10,11
349,2050-12-16,13
354,2050-12-21,23
358,2050-12-25,10
