Day of Year,Date,Weight
9,2050-01-10,13
21,2050-01-22,4
29,2050-01-30,11
32,2050-02-02,6
39,2050-02-09,14
40,2050-02-10,10
63,2050-03-05,4
64,2050-03-06,5
69,2050-03-11,5
79,2050-03-21,5
86,2050-03-28,2
87,2050-03-29,2
99,2050-04-10,8
103,2050-04-14,5
105,2050-04-16,3
115,2050-04-26,8
122,2050-05-03,3
125,2050-05-06,2
127,2050-05-08,11
136,2050-05-17,10
139,2050-05-20,6
159,2050-06-09,6
171,2050-06-21,2
173,2050-06-23,2
174,2050-06-24,5
176,2050-06-26,7
179,2050-06-29,5
184,2050-07-04,5
196,2050-07-16,7
197,2050-07-17,2
199,2050-07-19,1
207,2050-07-27,6
234,2050-08-23,11
239,2050-08-28,14
242,2050-08-31,4
258,2050-09-16,6
262,2050-09-20,13
266,2050-09-24,9
270,2050-09-28,8
272,2050-09-30,7
277,2050-10-05,9
283,2050-10-11,5
285,2050-10-13,9
287,2050-10-15,5
291,2050-10-19,13
296,2050-10-24,3
305,2050-11-02,8
314,2050-11-11,5
319,2050-11-16,6
326,2050-11-23,5
331,2050-11-28,11
336,2050-12-03,7
342,2050-12-09,5
354,2050-12-21,11
362,2050-12-29,6
